config,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
uniform4,1,2,0,0.9226290583610535,0.9234573245048523,0.9211422961950302,0.002315028309822109,0.5685380606196645,0.27830916343594925,0.5082705561349274,True,False,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
uniform4,1,2,1,0.3831690549850464,0.3846583962440491,0.382480830848217,0.0021775653958320818,0.8174057396983337,0.8069460758810276,0.7632228096105689,True,False,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,1,3,0,0.8942751884460449,0.8952300548553467,0.894361247420311,0.0008688074350357011,0.17790344105668676,0.518861599101395,0.28995568588994197,False,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
uniform4,1,3,1,0.370543897151947,0.3727380633354187,0.3711133286356926,0.001624734699726127,0.801691769980733,0.8560676602801265,0.8267047927357953,False,True,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,1,4,0,0.8973498344421387,0.9022096395492554,0.8990163022279739,0.003193337321281464,0.1758300187768822,0.2023422416912357,0.3825756706004425,False,False,"[[0, 0], [1, 3], [2, 1], [3, 2]]"
uniform4,1,4,1,0.34094640612602234,0.3421185612678528,0.3410805600881577,0.0010380011796951027,0.8511689760287457,0.8511689760287457,0.8674591152065877,False,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
uniform4,1,5,0,0.9172775745391846,0.9182056784629822,0.9171456176042557,0.0010600608587264526,0.24766621934928568,0.4860922949226153,0.40861153183568244,False,False,"[[0, 1], [1, 2], [2, 3], [3, 0]]"
uniform4,1,5,1,0.3896973133087158,0.3911329507827759,0.38986751675605774,0.0012654340267181374,0.8842935823554103,0.7866826941542453,0.8614697460595606,False,False,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,2,3,0,0.899920642375946,0.9021895527839661,0.899779179096222,0.002410373687744105,0.08205869871420812,0.5416118695895384,0.2701423088123065,False,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
uniform4,2,3,1,0.37353378534317017,0.37578386068344116,0.3741279777884483,0.001655882894992855,0.6190975096790667,0.7656399524028273,0.7565065544570285,False,False,"[[0, 2], [1, 3], [2, 1], [3, 0]]"
uniform4,2,4,0,0.9095911979675293,0.9106100797653198,0.909094722867012,0.0015153568983078403,0.20234224169123582,0.6639688348463708,0.3520147672812306,False,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
uniform4,2,4,1,0.35942596197128296,0.36267930269241333,0.3595199403166771,0.003159362375736219,0.7460008712004558,0.7876502276258257,0.7580471389953854,False,True,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
uniform4,2,5,0,0.9227454662322998,0.9240717887878418,0.9226102566719055,0.0014615321159362482,0.2285695909689276,0.31350395830889366,0.3974375094934113,False,False,"[[0, 3], [1, 2], [2, 1], [3, 0]]"
uniform4,2,5,1,0.39131826162338257,0.39131826162338257,0.38940525919198987,0.0019130024313926963,0.7652757201331777,0.7652757201331777,0.7686227842491676,False,False,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
uniform4,3,4,0,0.8811313509941101,0.8816465735435486,0.8790811461210251,0.002565427422523525,0.8776430347431676,0.07998527643440345,0.32764434186555996,True,False,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
uniform4,3,4,1,0.3195924758911133,0.32071352005004883,0.3190824952721596,0.001631024777889234,0.873096638478611,0.9405175441199728,0.8526512854479938,True,True,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
uniform4,3,5,0,0.9045423865318298,0.908795177936554,0.9061845380067826,0.0026106399297713967,0.8534891077452804,0.8300114159669104,0.3098724369667172,True,True,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,3,5,1,0.37091729044914246,0.3720272183418274,0.37012819945812225,0.0018990188837051392,0.8538217895458889,0.9484117843646106,0.8599949304311949,False,True,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,4,5,0,0.9091050028800964,0.9107789397239685,0.906980213522911,0.0037987262010574785,0.9281637994275965,0.256633664944538,0.3960388625378895,True,False,"[[0, 3], [1, 1], [2, 0], [3, 2]]"
uniform4,4,5,1,0.34003689885139465,0.34234875440597534,0.34140694260597226,0.0009418118000030784,0.8156145920472686,0.884573763276942,0.8945190757639154,False,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
hetero4,1,2,0,0.8518867492675781,0.8544947504997253,0.849536485671997,0.00495826482772832,0.8920232889789299,0.8920232889789299,0.20409123756181038,True,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
hetero4,1,2,1,0.2878780961036682,0.2878780961036682,0.2817245775461197,0.006153518557548532,0.995276162304026,0.995276162304026,0.2736898704163774,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,1,3,0,0.8024125695228577,0.8056613802909851,0.7963991165161133,0.009262263774871826,0.8833321223445326,0.8833321223445326,0.2681955613538781,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,1,3,1,0.29154297709465027,0.29423272609710693,0.29100854516029356,0.00322418093681337,0.9240172707879288,0.898218890427912,0.23291473020461015,True,True,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
hetero4,1,4,0,0.8547427654266357,0.8668707609176636,0.8603679800033569,0.006502780914306672,0.8912454266806632,0.12369148324413004,0.25394826021228023,True,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
hetero4,1,4,1,0.27438655495643616,0.2766377925872803,0.27163733780384064,0.005000454783439634,0.9977652834119479,0.9943885418412179,0.3718292275012674,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,1,5,0,0.833652675151825,0.8345141410827637,0.8306110918521881,0.003903049230575606,0.8832249593831959,0.10029649107028893,0.3176681677800883,True,False,"[[0, 2], [1, 1], [2, 3], [3, 0]]"
hetero4,1,5,1,0.2780535817146301,0.27842068672180176,0.274299718439579,0.004120968282222748,0.976770825497267,0.9609949489119762,0.26287342302107003,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,2,3,0,0.7981977462768555,0.8026741743087769,0.7959811896085739,0.006692984700202964,0.9911477888621049,0.9911477888621049,0.20018836970354761,True,True,"[[0, 2], [1, 1], [2, 0], [3, 3]]"
hetero4,2,3,1,0.3290465176105499,0.3328624963760376,0.32581975787878037,0.007042738497257228,0.9197606029724945,0.9197606029724945,0.2788684626454629,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,2,4,0,0.864693820476532,0.8735105991363525,0.8655709946155548,0.007939604520797783,0.9839830410533902,0.9854033374218929,0.2751839207132447,True,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
hetero4,2,4,1,0.3124743700027466,0.3124743700027466,0.3075046366453171,0.004969733357429507,0.9957629496611512,0.9957629496611512,0.3192533849173474,True,True,"[[0, 0], [1, 1], [2, 2], [3, 3]]"
hetero4,2,5,0,0.8436617851257324,0.8467155694961548,0.8405404078960419,0.006175161600112888,0.991201670404266,0.008906092680056266,0.2601143852516163,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,2,5,1,0.3086518347263336,0.31106752157211304,0.3020602783560753,0.009007243216037741,0.9800994946877077,0.9800994946877077,0.2701121673362974,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,3,4,0,0.8027037382125854,0.8078267574310303,0.8011476516723632,0.006679105758667037,0.9767121707874956,0.9765511262839978,0.26880105366263707,True,True,"[[0, 2], [1, 0], [2, 1], [3, 3]]"
hetero4,3,4,1,0.3157316744327545,0.31677907705307007,0.31442916095256807,0.002349916100502003,0.9234558456176744,0.9234558456176744,0.28517794991888756,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,3,5,0,0.792284369468689,0.8058043122291565,0.7934639394283295,0.012340372800827004,0.9998389554965021,5.388154216112717e-05,0.32001297957995756,True,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
hetero4,3,5,1,0.31825029850006104,0.31944945454597473,0.31478034406900407,0.0046691104769706615,0.9014314725595302,0.9014314725595302,0.2866902965136754,True,True,"[[0, 1], [1, 0], [2, 2], [3, 3]]"
hetero4,4,5,0,0.8563510179519653,0.856914222240448,0.8527677464485168,0.00414647579193117,0.9766050078261589,0.016070840488770943,0.2399277264187409,True,False,"[[0, 0], [1, 3], [2, 2], [3, 1]]"
hetero4,4,5,1,0.30248135328292847,0.3028569221496582,0.2984724622964859,0.004384459853172318,0.9762015847567177,0.05934014710101909,0.26318031558437205,True,False,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
