config,seed,head_dims_json,eval_loss,eval_accuracy,top_layer,top_head,top_head_dim,role_metric,top_role_score,top_specialization,random_same_layer_role_score_mean,own_top_loss_delta,own_top_accuracy_delta,random_same_layer_loss_delta_mean,random_same_layer_accuracy_delta_mean
hetero4_64first,1,"[64, 16, 16, 32]",0.0028735334635712206,1.0,0,0,64,ablation,1.7312820022343658,0.9993045661023068,0.00015060375881148502,1.7312820022343658,-0.330078125,4.048211849294603e-06,-0.000244140625
hetero4_64first,2,"[64, 16, 16, 32]",0.0023148307809606194,1.0,1,0,64,ablation,1.3043749084463343,0.9857110139061188,0.008375916921067983,1.3043749084463343,-0.279296875,0.008375916921067983,-0.0009765625
hetero4_64first,3,"[64, 16, 16, 32]",0.002546466246712953,1.0,1,0,64,ablation,1.0307590148295276,0.9192425834461738,0.03382546566717792,1.0307590148295276,-0.23046875,0.03382546566717792,-0.002197265625
hetero4_64first,4,"[64, 16, 16, 32]",0.004075978533364832,1.0,0,0,64,ablation,1.9858221368631348,0.9998401140103098,0.00015877795522101223,1.9858221368631348,-0.3828125,0.00015121129399631172,0.0
hetero4_64first,5,"[64, 16, 16, 32]",0.0041343276388943195,1.0,0,0,64,ablation,1.2384193832986057,0.9995177882219752,0.0002240506946691312,1.2384193832986057,-0.26171875,-0.0001326592973782681,-0.000732421875
