role,n_layer_pairs,raw_distribution_similarity_mean,aligned_distribution_similarity_mean,random_distribution_similarity_mean,raw_top_head_match_rate,aligned_top_head_match_rate
bos,432.0,0.8317439119118032,0.8566013116374146,0.8309832733460477,0.0787037037037037,0.12962962962962962
previous_token,432.0,0.7530764557321453,0.81164674025227,0.7530632428019954,0.11574074074074074,0.2824074074074074
repeat_match,432.0,0.5151806670576193,0.6191019765355273,0.5056628636734849,0.10185185185185185,0.2337962962962963
