target_seed,condition,source_seed,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
1,own_top,,,"[[0, 7], [1, 3]]",2.2153436690568924,3.3359621465206146,1.1206184774637222,200.0623016357422,197.0109634399414,-3.0513381958007812
1,own_random,,0,"[[0, 11], [1, 10]]",2.2153436690568924,2.1961648017168045,-0.01917886734008789,200.0623016357422,199.9534797668457,-0.10882186889648438
1,own_random,,1,"[[0, 3], [1, 9]]",2.2153436690568924,3.143331855535507,0.9279881864786148,200.0623016357422,194.77347564697266,-5.288825988769531
1,own_random,,2,"[[0, 3], [1, 1]]",2.2153436690568924,3.5828588902950287,1.3675152212381363,200.0623016357422,193.91729927062988,-6.145002365112305
1,own_random,,3,"[[0, 4], [1, 11]]",2.2153436690568924,2.5099353194236755,0.29459165036678314,200.0623016357422,199.64416122436523,-0.4181404113769531
1,own_random,,4,"[[0, 10], [1, 5]]",2.2153436690568924,2.2825464010238647,0.06720273196697235,200.0623016357422,199.07682991027832,-0.9854717254638672
1,own_random,,5,"[[0, 10], [1, 11]]",2.2153436690568924,2.3836331516504288,0.16828948259353638,200.0623016357422,199.1966896057129,-0.8656120300292969
1,own_random,,6,"[[0, 10], [1, 0]]",2.2153436690568924,2.306870862841606,0.09152719378471375,200.0623016357422,199.59212112426758,-0.4701805114746094
1,own_random,,7,"[[0, 3], [1, 11]]",2.2153436690568924,3.333727717399597,1.1183840483427048,200.0623016357422,194.50178146362305,-5.560520172119141
1,source_same_index,2,,"[[0, 1], [1, 1]]",2.2153436690568924,2.0884197801351547,-0.12692388892173767,200.0623016357422,200.19915580749512,0.1368541717529297
1,source_aligned,2,,"[[0, 3], [1, 10]]",2.2153436690568924,3.0960409939289093,0.8806973248720169,200.0623016357422,194.2926025390625,-5.7696990966796875
1,source_same_index,3,,"[[0, 1], [1, 2]]",2.2153436690568924,2.043662875890732,-0.17168079316616058,200.0623016357422,200.4207935333252,0.3584918975830078
