condition,n,loss_delta_mean,loss_delta_std,target_logit_delta_mean,target_logit_delta_std
own_random,72.0,0.24026227173291975,0.4841800693232621,-0.7183818022410074,1.2686678986420235
own_top,9.0,1.5243516564369202,0.441099247989855,-2.068871339162191,0.630560071317156
source_aligned,72.0,1.0538380864179797,0.7024411689911721,-1.5749824245770772,0.9407700207265496
source_same_index,72.0,0.2571002207696438,0.36309466902632803,-0.7014164196120368,1.1374509770565275
