step,next_router_supervision_weight,train_loss,config,seed,branch_head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_branch0_loss_delta,local_branch1_loss_delta,induction_branch0_loss_delta,induction_branch1_loss_delta,local_branch0_specialization,local_branch1_specialization,induction_branch0_specialization,induction_branch1_specialization,local_top_branch,induction_top_branch,same_top_branch,routed_role_match,branch_distribution_distance,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_gate_entropy_mean,induction_gate_entropy_mean,global_gate_entropy_mean,global_gate_branch0_mean,global_gate_branch1_mean,global_gate_balance_error_mean,gate_distribution_distance,gate_routed_role_match,gate_target_nll_mean,condition,label,supervision_end_step
0,0.0,nan,learned_token_router,1,[64],5.239086270332336,5.238911032676697,5.239261507987976,0.00634765625,0.00634765625,0.0,0.0018684864044189453,0.0009295940399169922,0.0001399517059326172,0.0,1.0,0.8691484618814088,0.13085153811859118,1,0,False,False,0.8691484618814088,0.5255981236696243,0.4744018688797951,0.5255981236696243,0.4744018688797951,0.6263729780912399,0.6263729780912399,0.626545175909996,0.5342802554368973,0.4657197818160057,0.06856047362089157,0.0,False,0.7685650736093521,unlabeled_entropy_balance,unlabeled,0
50,0.0,4.971759796142578,learned_token_router,1,[64],4.933877229690552,4.922942519187927,4.944811940193176,0.03515625,0.031005859375,0.10290443897247314,0.11897528171539307,0.09444272518157959,0.1122351884841919,0.46378478688115915,0.5362152131188409,0.45695606030892755,0.5430439396910725,1,1,True,False,0.006828726572231575,0.48929037898778915,0.5107096284627914,0.4867455065250397,0.5132544934749603,0.5126940011978149,0.5124480426311493,0.5001705139875412,0.49802984297275543,0.5019701942801476,0.006303064525127411,0.0025448687374591827,False,0.9369477182626724,unlabeled_entropy_balance,unlabeled,0
100,0.0,4.2767791748046875,learned_token_router,1,[64],4.2484210729599,4.0822227001190186,4.414619207382202,0.20751953125,0.1123046875,0.43606507778167725,0.45451223850250244,0.29628586769104004,0.3205263614654541,0.48964314474244997,0.51035685525755,0.4803501838739777,0.5196498161260222,1,1,True,False,0.009292960868472228,0.4927777200937271,0.5072222799062729,0.4902908056974411,0.5097091943025589,0.5495778918266296,0.5494368821382523,0.5326484888792038,0.5052390098571777,0.49476103484630585,0.010477975010871887,0.0024869143962860107,False,0.8828590214252472,unlabeled_entropy_balance,unlabeled,0
200,0.0,1.6016654968261719,learned_token_router,1,[64],1.5082165896892548,0.4286256954073906,2.5878074169158936,0.94091796875,0.4033203125,1.5660615637898445,0.8886417523026466,1.0498469471931458,0.8073183298110962,0.6379840502610201,0.36201594973897994,0.5652953779572241,0.4347046220427759,0,0,True,False,0.072688672303796,0.5377009958028793,0.46229900419712067,0.5082276165485382,0.49177236109972,0.6865125894546509,0.6888883113861084,0.6852681636810303,0.5038384646177292,0.4961615800857544,0.0076768845319747925,0.02947336807847023,False,0.6689356565475464,unlabeled_entropy_balance,unlabeled,0
400,0.0,0.04203695431351662,learned_token_router,1,[64],0.006815191823989153,0.007889767177402973,0.005740616703405976,0.999267578125,1.0,0.7029119981452823,0.25311008002609015,0.6517559250351042,0.2601831143256277,0.7352466163645243,0.26475338363547574,0.7146924266911353,0.28530757330886475,0,0,True,False,0.020554189673388984,0.5265009254217148,0.473499096930027,0.5112425684928894,0.4887574166059494,0.6873310804367065,0.6888093203306198,0.6716938614845276,0.501202903687954,0.4987971559166908,0.0025482475757598877,0.015258338302373886,False,0.6828550696372986,unlabeled_entropy_balance,unlabeled,0
401,0.0,0.04447611793875694,learned_token_router,1,[64],0.006595483631826937,0.0075779922772198915,0.005612975102849305,0.999267578125,1.0,0.7006827972363681,0.2531318000983447,0.6456849219975993,0.2558540644822642,0.7346111070163087,0.2653888929836913,0.7162029947464963,0.2837970052535037,0,0,True,False,0.018408112269812427,0.5263626426458359,0.4736373499035835,0.5113004744052887,0.4886995404958725,0.687322273850441,0.6887886673212051,0.671515092253685,0.5011755973100662,0.49882444739341736,0.0025278478860855103,0.015062179416418076,False,0.6830673813819885,unlabeled_entropy_balance,unlabeled,0
600,0.0,0.03698697313666344,learned_token_router,1,[64],0.007644747383892536,0.009222595021128654,0.00606689986307174,0.998291015625,0.999267578125,0.6140723843127489,0.2025408949702978,0.5530529058305547,0.16914486873429269,0.751974526855453,0.24802547314454707,0.7657914844223812,0.23420851557761882,0,0,True,False,0.013816957566928245,0.5422092080116272,0.457790806889534,0.5505520552396774,0.44944795966148376,0.6764951944351196,0.6775470674037933,0.611563578248024,0.49959326535463333,0.5004067718982697,0.0021053478121757507,0.008342847228050232,False,0.7180746346712112,unlabeled_entropy_balance,unlabeled,0
800,0.0,0.02950514480471611,learned_token_router,1,[64],0.0035603696014732122,0.003963423194363713,0.003157316124998033,0.999267578125,0.9990234375,0.4035404499154538,0.15645812335424125,0.39726943674031645,0.11377173813525587,0.7206097821986931,0.27939021780130696,0.7773726585476075,0.22262734145239252,0,0,True,False,0.05676287634891443,0.5491494834423065,0.4508505314588547,0.5733705163002014,0.4266294911503792,0.6647495031356812,0.6656509190797806,0.5337627530097961,0.5022860541939735,0.49771396815776825,0.005150415003299713,0.024221036583185196,False,0.7469173073768616,unlabeled_entropy_balance,unlabeled,0
801,0.0,0.028976943343877792,learned_token_router,1,[64],0.003229810972698033,0.0036532790400087833,0.002806342876283452,0.99951171875,0.99951171875,0.40410585841163993,0.1562174498103559,0.3984063791867811,0.11397574309376068,0.7212012287940309,0.2787987712059691,0.777557143121094,0.22244285687890603,0,0,True,False,0.05635591432706308,0.5491452813148499,0.45085471868515015,0.5734696239233017,0.4265303537249565,0.6646908670663834,0.665595218539238,0.5335079282522202,0.5023678466677666,0.4976322054862976,0.0052420273423194885,0.02432435378432274,False,0.7470835894346237,unlabeled_entropy_balance,unlabeled,0
1000,0.0,0.025944571942090988,learned_token_router,1,[64],0.0017532738274894655,0.0023817092005629092,0.0011248383962083608,0.999755859375,1.0,0.39614906461793,0.12957875544088893,0.3881233092106413,0.08852079321513884,0.7535250171345478,0.2464749828654522,0.8142832508267053,0.18571674917329478,0,0,True,False,0.06075823369215745,0.5332640707492828,0.46673593670129776,0.5702599883079529,0.4297400340437889,0.640722006559372,0.6464608311653137,0.4851984828710556,0.5054147839546204,0.494585245847702,0.010829538106918335,0.03699591010808945,False,0.7856222242116928,unlabeled_entropy_balance,unlabeled,0
