config,seed,head_dims_json,eval_loss_mean,role_accuracy_mean,role_accuracy_min,role_specialization_mean,role_effective_heads_mean,role_top_dim_mass_mean,within_family_similarity_mean,between_family_similarity_mean,family_gap,family_cluster_ari
uniform4,1,"[32, 32, 32, 32]",0.0027905040187761188,0.9992404580116272,0.99609375,0.45027887311660475,3.98912632216617,1.0,0.8363798637831413,0.23956699048377686,0.5968128732993645,1.0
uniform4,2,"[32, 32, 32, 32]",0.0016417602892033756,0.9999783014257749,0.9998698085546494,0.48817198016789515,4.061342696472777,1.0,0.7445497677498109,0.324083051969196,0.42046671578061484,0.4444444444444444
uniform4,3,"[32, 32, 32, 32]",0.0034723206190392375,0.9992156599958738,0.998046875,0.48079218336113655,4.0471034261948295,1.0,0.8738511127709979,0.28584580738334875,0.5880053053876492,1.0
uniform4,4,"[32, 32, 32, 32]",0.003427845542319119,0.999262161552906,0.998046875,0.3910672937806248,4.13941817858748,1.0,0.873410247832616,0.35423062835415386,0.5191796194784621,0.24242424242424246
uniform4,5,"[32, 32, 32, 32]",0.003722605004440993,0.9993272597591082,0.99609375,0.4365213026304389,4.515777078453904,1.0,0.7792481320330017,0.3464239918038205,0.4328241402291812,0.24242424242424246
hetero4,1,"[16, 16, 32, 64]",0.0021195895969867706,0.9998667016625404,0.9994792193174362,0.6523286692950087,2.3890128425083734,0.7801446210693673,0.8366633308046835,0.34233208257565345,0.49433124822903,1.0
hetero4,2,"[16, 16, 32, 64]",0.0019302299770060927,0.9999783014257749,0.9998698085546494,0.6791815708896016,2.270126372814303,0.8206756255644353,0.918160519313215,0.32331942445300776,0.5948410948602072,1.0
hetero4,3,"[16, 16, 32, 64]",0.0020424682006705552,0.9996310820182165,0.998046875,0.6954112185456371,2.153879603667295,0.8765137883647277,0.865354059311113,0.4313959031993242,0.4339581561117888,0.4444444444444444
hetero4,4,"[16, 16, 32, 64]",0.0036307124537415802,0.9993272597591082,0.99609375,0.6654099021437071,2.227467648032236,0.796437615431112,0.864151539292133,0.3616531589448659,0.5024983803472671,1.0
hetero4,5,"[16, 16, 32, 64]",0.0021957358112558722,0.9996527805924416,0.998046875,0.6219808767706646,2.4429893932859192,0.8112793708435765,0.7976526095265263,0.29874069820679966,0.4989119113197266,1.0
hetero4_64first,1,"[64, 16, 16, 32]",0.003515725111356005,0.999240462978681,0.99609375,0.695192039757008,2.1545446710387903,0.8224723060297064,0.9277841357813154,0.27956402925086343,0.6482201065304519,1.0
hetero4_64first,2,"[64, 16, 16, 32]",0.0020606253237929195,0.9998697986205419,0.9992187917232513,0.681057047751759,2.359723877007449,0.833527231737476,0.8670843536755687,0.34288698030787085,0.5241973733676979,1.0
hetero4_64first,3,"[64, 16, 16, 32]",0.0066445195116102695,0.9983600104848543,0.99609375,0.6970829917917575,2.3726624707353077,0.8050980890418952,0.8654592322151152,0.3674132553544885,0.49804597686062674,1.0
hetero4_64first,4,"[64, 16, 16, 32]",0.004792457388248295,0.999231164654096,0.998046875,0.7500295570709136,1.8733549258459803,0.9506045690942045,0.935323367621948,0.463703362078989,0.471620005542959,1.0
hetero4_64first,5,"[64, 16, 16, 32]",0.0029186008614487946,0.9993055611848831,0.998046875,0.652474086500099,2.6530377542299406,0.8162677722709705,0.9228557535843872,0.2808995118026342,0.641956241781753,1.0
hetero4_64second,1,"[16, 64, 16, 32]",0.002103655890095979,0.9998697986205419,0.9992187917232513,0.7186089036319977,2.168081612914325,0.8274757130663658,0.9645523347109056,0.24633486742005392,0.7182174672908517,1.0
hetero4_64second,2,"[16, 64, 16, 32]",0.0027466443134471774,0.9996527805924416,0.998046875,0.7906372919682375,1.7438102109946794,0.9222165692872094,0.9560833327355699,0.23807733064906364,0.7180060020865062,1.0
hetero4_64second,3,"[16, 64, 16, 32]",0.0033353263279423118,0.9992373585700989,0.998046875,0.7425350156312902,1.9970908943182444,0.8668593320368,0.954247654793334,0.2874923523838294,0.6667553024095045,1.0
hetero4_64second,4,"[16, 64, 16, 32]",0.0012042434245813638,1.0,1.0,0.69423684695597,2.080762281051875,0.8800112903950578,0.8539102370440365,0.44926144534736073,0.4046487916966757,0.4444444444444444
hetero4_64second,5,"[16, 64, 16, 32]",0.002159210474928841,0.9999783014257749,0.9998698085546494,0.6682951885800045,2.385830249816562,0.835348411486296,0.8590518992679588,0.3301236222991733,0.5289282769687855,1.0
hetero4_64third,1,"[16, 32, 64, 16]",0.0038246739422902465,0.9989583392937978,0.9976562857627869,0.6634010327246428,2.408687281240852,0.8589944101999163,0.9201500628760216,0.29128635891561344,0.6288637039604081,1.0
hetero4_64third,2,"[16, 32, 64, 16]",0.0024963271571323276,0.9999132007360458,0.999479204416275,0.7877553981596996,1.7459244313075217,0.9235601357521279,0.9299713898665339,0.23726846822141393,0.69270292164512,1.0
hetero4_64third,3,"[16, 32, 64, 16]",0.006394426745828241,0.9990451460083326,0.998046875,0.7532791632832606,1.9025382391660468,0.8814199792125635,0.9567678797539277,0.30529950744315903,0.6514683723107687,1.0
hetero4_64third,4,"[16, 32, 64, 16]",0.002781578281428665,0.9994977762301763,0.998046875,0.7553661844363303,1.898077590918547,0.8601876601771594,0.9081764299211251,0.2847348379502942,0.6234415919708309,1.0
hetero4_64third,5,"[16, 32, 64, 16]",0.007360410992987454,0.9985243156552315,0.99609375,0.6530599275274092,2.5114221626889766,0.8325872744647235,0.7580103220010161,0.41731929671390383,0.3406910252871123,0.4444444444444444
uniform2,1,"[64, 64]",0.008900873363018036,0.9979166785875956,0.9933594167232513,0.7182098201090178,1.9867838891008134,1.0,0.9294698427360976,0.1843506208488943,0.7451192218872033,1.0
uniform2,2,"[64, 64]",0.0018603243515826762,0.9996093834439913,0.998046875,0.6150785958269144,2.279931184681456,1.0,0.9428110320114781,0.2819072902299807,0.6609037417814974,1.0
uniform2,3,"[64, 64]",0.0024506170593667775,0.999804695447286,0.9988281726837158,0.5905385606996293,2.3578341295967533,1.0,0.9215252344809363,0.2874345605041733,0.6340906739767629,1.0
uniform2,4,"[64, 64]",0.0011224649788346142,0.9999132032195727,0.9994792193174362,0.7172304398949639,1.977660621812122,1.0,0.9304196523125627,0.1806855864702934,0.7497340658422693,1.0
uniform2,5,"[64, 64]",0.0025272877828683704,0.9993272597591082,0.99609375,0.5398522509909117,2.6472667200146063,1.0,0.8920144503769545,0.4192380220020153,0.47277642837493916,1.0
