config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
uniform4,1,local_a,local_copy,local_b,local_copy,True,0.1193018476540506,0.8806981523459494
uniform4,1,local_a,local_copy,kv_a,kv_lookup,False,0.3613385368822337,0.6386614631177663
uniform4,1,local_a,local_copy,kv_b,kv_lookup,False,0.45812715786365166,0.5418728421363483
uniform4,1,local_a,local_copy,induction_short,induction,False,0.9810330117771301,0.018966988222869907
uniform4,1,local_a,local_copy,induction_long,induction,False,0.9444589414940096,0.05554105850599045
uniform4,1,local_b,local_copy,kv_a,kv_lookup,False,0.3398600811204439,0.660139918879556
uniform4,1,local_b,local_copy,kv_b,kv_lookup,False,0.46082796483504057,0.5391720351649594
uniform4,1,local_b,local_copy,induction_short,induction,False,0.983733818748519,0.01626618125148105
uniform4,1,local_b,local_copy,induction_long,induction,False,0.9471597484653984,0.05284025153460159
uniform4,1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.13065938899762286,0.8693406110023771
uniform4,1,kv_a,kv_lookup,induction_short,induction,False,0.9752257897066984,0.024774210293301624
uniform4,1,kv_a,kv_lookup,induction_long,induction,False,0.8944792572573594,0.10552074274264056
uniform4,1,kv_b,kv_lookup,induction_short,induction,False,0.929849169246766,0.07015083075323403
uniform4,1,kv_b,kv_lookup,induction_long,induction,False,0.849102636797427,0.15089736320257296
uniform4,1,induction_short,induction,induction_long,induction,True,0.24089917199890265,0.7591008280010973
uniform4,2,local_a,local_copy,local_b,local_copy,True,0.46941432425076113,0.5305856757492389
uniform4,2,local_a,local_copy,kv_a,kv_lookup,False,0.38146864514238243,0.6185313548576176
uniform4,2,local_a,local_copy,kv_b,kv_lookup,False,0.34083666291981823,0.6591633370801817
uniform4,2,local_a,local_copy,induction_short,induction,False,0.9783286003036484,0.021671399696351568
uniform4,2,local_a,local_copy,induction_long,induction,False,0.9373459155412784,0.06265408445872156
uniform4,2,local_b,local_copy,kv_a,kv_lookup,False,0.43203270147445033,0.5679672985255497
uniform4,2,local_b,local_copy,kv_b,kv_lookup,False,0.4206980180211651,0.579301981978835
uniform4,2,local_b,local_copy,induction_short,induction,False,0.5089142760528873,0.4910857239471127
uniform4,2,local_b,local_copy,induction_long,induction,False,0.46793159129051726,0.5320684087094827
uniform4,2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.07510804176425234,0.9248919582357477
uniform4,2,kv_a,kv_lookup,induction_short,induction,False,0.9361846301732644,0.06381536982673564
uniform4,2,kv_a,kv_lookup,induction_long,induction,False,0.892677226554856,0.10732277344514396
uniform4,2,kv_b,kv_lookup,induction_short,induction,False,0.929046256256894,0.07095374374310603
uniform4,2,kv_b,kv_lookup,induction_long,induction,False,0.8855388526384856,0.11446114736151436
uniform4,2,induction_short,induction,induction_long,induction,True,0.2218283307355539,0.778171669264446
uniform4,3,local_a,local_copy,local_b,local_copy,True,0.18975639961216448,0.8102436003878355
uniform4,3,local_a,local_copy,kv_a,kv_lookup,False,0.28869828746412163,0.7113017125358784
uniform4,3,local_a,local_copy,kv_b,kv_lookup,False,0.31636846421186726,0.6836315357881327
uniform4,3,local_a,local_copy,induction_short,induction,False,0.9768250279316355,0.023174972068364497
uniform4,3,local_a,local_copy,induction_long,induction,False,0.9257994781845635,0.07420052181543646
uniform4,3,local_b,local_copy,kv_a,kv_lookup,False,0.29106756650048426,0.7089324334995157
uniform4,3,local_b,local_copy,kv_b,kv_lookup,False,0.2648472970449959,0.7351527029550041
uniform4,3,local_b,local_copy,induction_short,induction,False,0.979194306967998,0.02080569303200197
uniform4,3,local_b,local_copy,induction_long,induction,False,0.9281687572209261,0.07183124277907393
uniform4,3,kv_a,kv_lookup,kv_b,kv_lookup,True,0.13716003894740147,0.8628399610525985
uniform4,3,kv_a,kv_lookup,induction_short,induction,False,0.9105929805475943,0.0894070194524057
uniform4,3,kv_a,kv_lookup,induction_long,induction,False,0.8672097919265945,0.13279020807340547
uniform4,3,kv_b,kv_lookup,induction_short,induction,False,0.9322307710100171,0.06776922898998294
uniform4,3,kv_b,kv_lookup,induction_long,induction,False,0.8888475823890174,0.1111524176109826
uniform4,3,induction_short,induction,induction_long,induction,True,0.051530223127440405,0.9484697768725596
uniform4,4,local_a,local_copy,local_b,local_copy,True,0.04804583851210081,0.9519541614878992
uniform4,4,local_a,local_copy,kv_a,kv_lookup,False,0.23236810028228772,0.7676318997177123
uniform4,4,local_a,local_copy,kv_b,kv_lookup,False,0.25175018845608377,0.7482498115439162
uniform4,4,local_a,local_copy,induction_short,induction,False,0.9879401626423756,0.012059837357624392
uniform4,4,local_a,local_copy,induction_long,induction,False,0.925508635704078,0.07449136429592196
uniform4,4,local_b,local_copy,kv_a,kv_lookup,False,0.22035052067117328,0.7796494793288267
uniform4,4,local_b,local_copy,kv_b,kv_lookup,False,0.23023758754179424,0.7697624124582058
uniform4,4,local_b,local_copy,induction_short,induction,False,0.9894603542418812,0.010539645758118832
uniform4,4,local_b,local_copy,induction_long,induction,False,0.9270288273035838,0.07297117269641618
uniform4,4,kv_a,kv_lookup,kv_b,kv_lookup,True,0.05540222435216362,0.9445977756478364
uniform4,4,kv_a,kv_lookup,induction_short,induction,False,0.795453439835881,0.20454656016411898
uniform4,4,kv_a,kv_lookup,induction_long,induction,False,0.7283458141588457,0.2716541858411543
uniform4,4,kv_b,kv_lookup,induction_short,induction,False,0.7628690471446693,0.2371309528553307
uniform4,4,kv_b,kv_lookup,induction_long,induction,False,0.6979197817675001,0.30208021823249986
uniform4,4,induction_short,induction,induction_long,induction,True,0.27632119363788776,0.7236788063621122
uniform4,5,local_a,local_copy,local_b,local_copy,True,0.12669922893369515,0.8733007710663049
uniform4,5,local_a,local_copy,kv_a,kv_lookup,False,0.295274513067298,0.704725486932702
uniform4,5,local_a,local_copy,kv_b,kv_lookup,False,0.24011642232430497,0.759883577675695
uniform4,5,local_a,local_copy,induction_short,induction,False,0.9725163556646923,0.0274836443353077
uniform4,5,local_a,local_copy,induction_long,induction,False,0.8876713608553444,0.11232863914465563
uniform4,5,local_b,local_copy,kv_a,kv_lookup,False,0.29126712733656734,0.7087328726634327
uniform4,5,local_b,local_copy,kv_b,kv_lookup,False,0.23249797870520308,0.7675020212947969
uniform4,5,local_b,local_copy,induction_short,induction,False,0.9704424667229417,0.029557533277058345
uniform4,5,local_b,local_copy,induction_long,induction,False,0.8855974719135938,0.11440252808640616
uniform4,5,kv_a,kv_lookup,kv_b,kv_lookup,True,0.13574370891998935,0.8642562910800107
uniform4,5,kv_a,kv_lookup,induction_short,induction,False,0.8630571824396034,0.1369428175603966
uniform4,5,kv_a,kv_lookup,induction_long,induction,False,0.5943303445770265,0.4056696554229735
uniform4,5,kv_b,kv_lookup,induction_short,induction,False,0.8986280508326023,0.10137194916739767
uniform4,5,kv_b,kv_lookup,induction_long,induction,False,0.711512823914976,0.28848717608502406
uniform4,5,induction_short,induction,induction_long,induction,True,0.3998126660473106,0.6001873339526894
hetero4,1,local_a,local_copy,local_b,local_copy,True,0.046191655793031534,0.9538083442069685
hetero4,1,local_a,local_copy,kv_a,kv_lookup,False,0.5634264982273148,0.43657350177268517
hetero4,1,local_a,local_copy,kv_b,kv_lookup,False,0.6576545914184044,0.34234540858159557
hetero4,1,local_a,local_copy,induction_short,induction,False,0.48722316127206455,0.5127768387279354
hetero4,1,local_a,local_copy,induction_long,induction,False,0.8258640340378613,0.17413596596213865
hetero4,1,local_b,local_copy,kv_a,kv_lookup,False,0.5634264982273148,0.43657350177268517
hetero4,1,local_b,local_copy,kv_b,kv_lookup,False,0.6576545914184044,0.34234540858159557
hetero4,1,local_b,local_copy,induction_short,induction,False,0.48722316127206455,0.5127768387279354
hetero4,1,local_b,local_copy,induction_long,induction,False,0.8258640340378613,0.17413596596213865
hetero4,1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.10517365486267999,0.89482634513732
hetero4,1,kv_a,kv_lookup,induction_short,induction,False,0.5577516190148955,0.44224838098510455
hetero4,1,kv_a,kv_lookup,induction_long,induction,False,0.7976794342385354,0.20232056576146462
hetero4,1,kv_b,kv_lookup,induction_short,induction,False,0.6562463927222891,0.34375360727771087
hetero4,1,kv_b,kv_lookup,induction_long,induction,False,0.8120009932051485,0.1879990067948515
hetero4,1,induction_short,induction,induction_long,induction,True,0.338644696930238,0.661355303069762
hetero4,2,local_a,local_copy,local_b,local_copy,True,0.07666308327078779,0.9233369167292123
hetero4,2,local_a,local_copy,kv_a,kv_lookup,False,0.5750094359308513,0.4249905640691487
hetero4,2,local_a,local_copy,kv_b,kv_lookup,False,0.5589821553605387,0.44101784463946125
hetero4,2,local_a,local_copy,induction_short,induction,False,0.718215111847638,0.281784888152362
hetero4,2,local_a,local_copy,induction_long,induction,False,0.7886247428296027,0.2113752571703973
hetero4,2,local_b,local_copy,kv_a,kv_lookup,False,0.5771869614608931,0.4228130385391069
hetero4,2,local_b,local_copy,kv_b,kv_lookup,False,0.5602651157860858,0.43973488421391416
hetero4,2,local_b,local_copy,induction_short,induction,False,0.7203926373776797,0.27960736262232033
hetero4,2,local_b,local_copy,induction_long,induction,False,0.7908022683596445,0.2091977316403555
hetero4,2,kv_a,kv_lookup,kv_b,kv_lookup,True,0.018143372672815315,0.9818566273271847
hetero4,2,kv_a,kv_lookup,induction_short,induction,False,0.6340526145551825,0.36594738544481753
hetero4,2,kv_a,kv_lookup,induction_long,induction,False,0.7774047792744655,0.2225952207255345
hetero4,2,kv_b,kv_lookup,induction_short,induction,False,0.6389502839402584,0.36104971605974157
hetero4,2,kv_b,kv_lookup,induction_long,induction,False,0.7802807998410665,0.21971920015893354
hetero4,2,induction_short,induction,induction_long,induction,True,0.1507119861167519,0.8492880138832481
hetero4,3,local_a,local_copy,local_b,local_copy,True,0.04843758588555833,0.9515624141144416
hetero4,3,local_a,local_copy,kv_a,kv_lookup,False,0.6308025793419989,0.3691974206580011
hetero4,3,local_a,local_copy,kv_b,kv_lookup,False,0.6111309828984228,0.3888690171015772
hetero4,3,local_a,local_copy,induction_short,induction,False,0.7839997153188969,0.2160002846811031
hetero4,3,local_a,local_copy,induction_long,induction,False,0.7846901088171636,0.2153098911828364
hetero4,3,local_b,local_copy,kv_a,kv_lookup,False,0.6316319186376609,0.3683680813623391
hetero4,3,local_b,local_copy,kv_b,kv_lookup,False,0.6111309828984229,0.38886901710157706
hetero4,3,local_b,local_copy,induction_short,induction,False,0.7850570331086282,0.21494296689137182
hetero4,3,local_b,local_copy,induction_long,induction,False,0.785747426606895,0.214252573393105
hetero4,3,kv_a,kv_lookup,kv_b,kv_lookup,True,0.020930343064915608,0.9790696569350844
hetero4,3,kv_a,kv_lookup,induction_short,induction,False,0.1535501625892028,0.8464498374107972
hetero4,3,kv_a,kv_lookup,induction_long,induction,False,0.43565797668752054,0.5643420233124794
hetero4,3,kv_b,kv_lookup,induction_short,induction,False,0.17392605021020524,0.8260739497897948
hetero4,3,kv_b,kv_lookup,induction_long,induction,False,0.43592422449309143,0.5640757755069086
