config,role,head_dims_json,n_models,accuracy_mean,top_specialization_mean,top_role_score_mean,top_64_rate,top_head_dim_counts_json,top_slot_counts_json
hetero4,induction,"[16, 16, 32, 64]",5,0.999218761920929,0.8188345557092601,2.6602557398960927,0.8,"{""16"": 1, ""64"": 4}","{""L0H0:d16"": 1, ""L0H3:d64"": 2, ""L1H3:d64"": 2}"
hetero4,local,"[16, 16, 32, 64]",5,1.0,0.885684531332432,0.15643378906461294,0.8,"{""16"": 1, ""64"": 4}","{""L0H0:d16"": 1, ""L1H3:d64"": 4}"
hetero4_64first,induction,"[64, 16, 16, 32]",5,0.9986458420753479,0.7219993286652784,2.759239414980402,0.4,"{""16"": 3, ""64"": 2}","{""L0H0:d64"": 1, ""L0H1:d16"": 1, ""L0H2:d16"": 2, ""L1H0:d64"": 1}"
hetero4_64first,local,"[64, 16, 16, 32]",5,0.99990234375,0.9186548954593945,0.13818842113832944,1.0,"{""64"": 5}","{""L1H0:d64"": 5}"
hetero4_64second,induction,"[16, 64, 16, 32]",5,1.0,0.7245330405211072,3.2447139481519116,0.2,"{""16"": 4, ""64"": 1}","{""L0H0:d16"": 1, ""L0H2:d16"": 3, ""L1H1:d64"": 1}"
hetero4_64second,local,"[16, 64, 16, 32]",5,1.0,0.9241513756189447,0.14184655340723112,1.0,"{""64"": 5}","{""L1H1:d64"": 5}"
hetero4_64third,induction,"[16, 32, 64, 16]",5,0.9993229240179062,0.690022297588423,1.444606333601405,0.6,"{""16"": 2, ""64"": 3}","{""L0H0:d16"": 1, ""L0H3:d16"": 1, ""L1H2:d64"": 3}"
hetero4_64third,local,"[16, 32, 64, 16]",5,0.999951171875,0.9434590029392602,0.14619480176988872,1.0,"{""64"": 5}","{""L1H2:d64"": 5}"
