config,seed,branch_head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_branch0_loss_delta,local_branch1_loss_delta,induction_branch0_loss_delta,induction_branch1_loss_delta,local_branch0_specialization,local_branch1_specialization,induction_branch0_specialization,induction_branch1_specialization,local_top_branch,induction_top_branch,same_top_branch,routed_role_match,branch_distribution_distance,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_gate_entropy_mean,induction_gate_entropy_mean,gate_distribution_distance,gate_routed_role_match,gate_target_nll_mean
weak_position_router,1,[64],0.0025810670340433717,0.0010275745007675141,0.002969440072774887,1.0,0.9996094107627869,0.9007216489699204,0.018215090763987973,0.5847367979586124,1.0899913646280766,0.9801780797563253,0.019821920243674684,0.34915326022550525,0.6508467397744948,0,1,False,True,0.6310248195308201,0.8159672021865845,0.18403276801109314,0.3242579400539398,0.6757421493530273,0.4769585132598877,0.6296418905258179,0.49170932173728943,True,0.2978076934814453
weak_position_router,2,[64],0.002541707595810294,0.0006311916367849335,0.0030193365819286555,1.0,0.9996094107627869,1.2307597912295023,0.013539258055971004,0.844249766349094,0.7816734277002979,0.9891189677724613,0.010881032227538704,0.5192433255389354,0.4807566744610646,0,0,True,False,0.46987564223352596,0.8128616809844971,0.1871383786201477,0.36228519678115845,0.6377149224281311,0.481798380613327,0.6545259356498718,0.450576514005661,True,0.32861363887786865
weak_position_router,3,[64],0.012521074851974845,0.0005645780183840543,0.015510198660194874,1.0,0.9958333820104599,0.8878172458789777,0.06026271262089722,0.41599301528185606,1.9837149707600474,0.9364370989170053,0.06356290108299464,0.1733515151433063,0.8266484848566937,0,1,False,True,0.7630855837736991,0.8103040456771851,0.18969596922397614,0.3485194742679596,0.651480495929718,0.4855356514453888,0.6458327174186707,0.4617845490574837,True,0.3196443021297455
weak_position_router,4,[64],0.0013821282191202044,0.0007296004332602024,0.0015452601219294593,1.0,0.9997396171092987,0.997307678218931,0.04893679590895772,0.49639354420651216,1.3165481887554051,0.9532262323777149,0.04677376762228508,0.2738055697992691,0.7261944302007309,0,1,False,True,0.6794206625784458,0.8224210143089294,0.17757898569107056,0.352037250995636,0.647962749004364,0.4668509364128113,0.6479324698448181,0.47038376331329346,True,0.31501203775405884
weak_position_router,5,[64],0.0034422265889588743,0.002059585356619209,0.0037878868461120874,0.99951171875,0.9993490129709244,0.8896748656989075,0.06204733537742868,0.5484691890596878,1.5989234628796112,0.9348052033384772,0.06519479666152282,0.2554116912733068,0.7445883087266932,0,1,False,True,0.6793935120651704,0.8042078614234924,0.19579213857650757,0.3286818265914917,0.6713182330131531,0.4944378137588501,0.6328591704368591,0.4755260646343231,True,0.3083050549030304
weak_token_router,1,[64],0.006669259688351303,0.00019683501886902377,0.008287365664727986,1.0,0.9983073323965073,5.543780425570731,3.6503843148238957e-07,0.2859415606362745,5.29036075330805,0.9999999341535235,6.584647648780471e-08,0.051277987551219664,0.9487220124487803,0,1,False,True,0.9487219466023038,0.999534010887146,0.00046601780923083425,0.07277587242424488,0.927224189043045,0.004021746572107077,0.15611053258180618,0.9267581548483577,True,0.049044507555663586
weak_token_router,2,[64],0.003066894132643938,0.00016314804088324308,0.00379283053916879,1.0,0.999479204416275,5.604366113548167,1.149554009316489e-06,0.6978961594577413,2.9524273790593725,0.999999794882463,2.0511753697600794e-07,0.19118748025859938,0.8088125197414007,0,1,False,True,0.8088123146238637,0.9961296319961548,0.003870422951877117,0.16257037222385406,0.8374296873807907,0.025350607931613922,0.35905126482248306,0.8335592621006072,True,0.10158813931047916
weak_token_router,3,[64],0.010063798341434449,0.004993281268980354,0.01133142749313265,0.999267578125,0.9971354603767395,5.8509751940728165,1.385531504638493e-06,0.8168498392915353,5.315814148983918,0.9999997631965389,2.3680346106122871e-07,0.13319657506969315,0.8668034249303068,0,1,False,True,0.8668031881268458,0.9998751282691956,0.00012488214997574687,0.10680818185210228,0.8931918740272522,0.0012415770906955004,0.17407960817217827,0.8930669691471849,True,0.0816950872540474
weak_token_router,4,[64],0.004752735141664743,0.003676717300550081,0.005021739809308201,0.99951171875,0.998697966337204,5.616633350829943,1.0776340786833316e-05,0.7912203482701443,4.631680440099444,0.9999980813559587,1.9186440413239568e-06,0.145903526387033,0.854096473612967,0,1,False,True,0.8540945549689257,0.9952354431152344,0.0047645578160882,0.11525534465909004,0.8847447335720062,0.030163833871483803,0.24167189747095108,0.8799801371060312,True,0.08024985902011395
weak_token_router,5,[64],0.006295128725469112,0.00023103964122128673,0.007811151153873652,1.0,0.9980469346046448,5.7806124566814105,1.2952295946888626e-07,4.503817763179541e-06,6.031750120513607,0.9999999775935582,2.2406441797880943e-08,7.466845128300949e-07,0.9999992533154872,0,1,False,True,0.9999992309090454,0.9998359680175781,0.00016408399096690118,0.008559676120057702,0.9914403706789017,0.001590705243870616,0.04120524972677231,0.9912762892927276,True,0.004430562839843333
