revision,revision_index,n_pairs,same_index_loss_delta_mean,aligned_loss_delta_mean,aligned_minus_same_index_mean,aligned_minus_same_index_std,aligned_better_count
step0,0,6,-4.376967748006185e-05,0.0004984537760416666,0.0005422234535217285,0.0014489729409616924,4
step1000,1,6,-0.030410364270210266,-0.03707944850126902,-0.006669084231058757,0.012766889466530974,2
step4000,2,6,0.01488149662812551,0.0034362499912579856,-0.011445246636867523,0.0579373539069053,4
step16000,3,6,0.09515941391388576,0.28901339198152226,0.1938539780676365,0.21786058125447855,5
step64000,4,6,0.3034447853763898,0.805702693760395,0.5022579083840052,0.5374558090366689,5
step143000,5,6,0.3045591215292613,1.1773770973086357,0.8728179757793745,0.45124166509085567,6
