model_size,revision,revision_index,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,best_assignment_json
160m,step16000,3,2,3,0,0.8795828819274902,0.8994110226631165,0.867129812836647,0.032281209826469426,"[[0, 3], [1, 1], [2, 4], [3, 9], [4, 8], [5, 2], [6, 0], [7, 7], [8, 6], [9, 10], [10, 5], [11, 11]]"
160m,step16000,3,2,3,1,0.6729709506034851,0.8407799601554871,0.7002499598264694,0.14053000032901763,"[[0, 10], [1, 2], [2, 11], [3, 0], [4, 9], [5, 3], [6, 8], [7, 1], [8, 6], [9, 4], [10, 5], [11, 7]]"
160m,step64000,4,1,2,0,0.8701281547546387,0.9175705909729004,0.8839207589626312,0.033649832010269165,"[[0, 8], [1, 5], [2, 0], [3, 1], [4, 4], [5, 3], [6, 9], [7, 10], [8, 11], [9, 6], [10, 7], [11, 2]]"
160m,step64000,4,1,2,1,0.7180178761482239,0.8173582553863525,0.715066893696785,0.10229136168956754,"[[0, 8], [1, 4], [2, 10], [3, 1], [4, 2], [5, 0], [6, 5], [7, 3], [8, 9], [9, 11], [10, 7], [11, 6]]"
160m,step64000,4,1,3,0,0.8715354800224304,0.9285697937011719,0.8856059753894806,0.04296381831169127,"[[0, 2], [1, 6], [2, 7], [3, 1], [4, 11], [5, 8], [6, 10], [7, 5], [8, 9], [9, 0], [10, 3], [11, 4]]"
160m,step64000,4,1,3,1,0.5639198422431946,0.7435355186462402,0.5868526530265809,0.15668286561965938,"[[0, 6], [1, 4], [2, 5], [3, 2], [4, 9], [5, 10], [6, 8], [7, 0], [8, 3], [9, 1], [10, 11], [11, 7]]"
160m,step64000,4,2,3,0,0.905604898929596,0.9276555180549622,0.8931924897432327,0.03446302831172943,"[[0, 7], [1, 1], [2, 10], [3, 4], [4, 5], [5, 6], [6, 9], [7, 3], [8, 2], [9, 0], [10, 11], [11, 8]]"
160m,step64000,4,2,3,1,0.5460378527641296,0.7909014225006104,0.5766333964467049,0.2142680260539055,"[[0, 3], [1, 2], [2, 9], [3, 1], [4, 7], [5, 6], [6, 0], [7, 11], [8, 10], [9, 4], [10, 5], [11, 8]]"
160m,step143000,5,1,2,0,0.8543010354042053,0.9188482761383057,0.8731751155853271,0.04567316055297854,"[[0, 5], [1, 2], [2, 0], [3, 1], [4, 3], [5, 4], [6, 7], [7, 10], [8, 8], [9, 6], [10, 11], [11, 9]]"
160m,step143000,5,1,2,1,0.5519871711730957,0.7144866585731506,0.5900226789712906,0.12446397960186006,"[[0, 10], [1, 5], [2, 6], [3, 4], [4, 2], [5, 1], [6, 8], [7, 3], [8, 9], [9, 0], [10, 7], [11, 11]]"
160m,step143000,5,1,3,0,0.8603666424751282,0.9283707737922668,0.8830421954393387,0.04532857835292814,"[[0, 2], [1, 6], [2, 7], [3, 1], [4, 10], [5, 8], [6, 3], [7, 11], [8, 9], [9, 0], [10, 5], [11, 4]]"
160m,step143000,5,1,3,1,0.4291287958621979,0.6468351483345032,0.44850144296884537,0.1983337053656578,"[[0, 9], [1, 4], [2, 5], [3, 0], [4, 7], [5, 10], [6, 6], [7, 11], [8, 1], [9, 3], [10, 2], [11, 8]]"
160m,step143000,5,2,3,0,0.9106535911560059,0.9329975247383118,0.8888824361562729,0.04411508858203883,"[[0, 7], [1, 1], [2, 10], [3, 4], [4, 8], [5, 6], [6, 5], [7, 3], [8, 9], [9, 2], [10, 0], [11, 11]]"
160m,step143000,5,2,3,1,0.37651702761650085,0.7451159954071045,0.4291865345835686,0.3159294608235359,"[[0, 3], [1, 2], [2, 9], [3, 1], [4, 7], [5, 6], [6, 0], [7, 11], [8, 10], [9, 4], [10, 5], [11, 8]]"
