revision,revision_index,condition,n,loss_delta_mean,loss_delta_std,target_logit_delta_mean,target_logit_delta_std
step0,0,own_random,12,-0.000399172306060791,0.0017329820029786795,0.00028499209387670515,0.001635505098943607
step0,0,own_top,3,0.0006510416666666666,0.0008000167444913112,-0.0006828002418236186,0.000862602856234264
step0,0,source_aligned,6,0.0004984537760416666,0.0007826280387776265,-0.0005954264500663461,0.0008774904016091054
step0,0,source_same_index,6,-4.376967748006185e-05,0.0012122139994221763,4.4672832397433616e-05,0.0010404249640995405
step1000,1,own_random,12,-0.03544601301352183,0.014169417318931551,0.04392139116923014,0.01637053524696217
step1000,1,own_top,3,-0.031202803055445354,0.003403802899386392,0.04077937205632528,0.004374058040006594
step1000,1,source_aligned,6,-0.03707944850126902,0.011496892677154941,0.04712664087613424,0.013490564675758843
step1000,1,source_same_index,6,-0.030410364270210266,0.006247700795071621,0.03899135192235311,0.0071620632291115515
step4000,2,own_random,12,0.014627069234848022,0.044601747358485364,-0.07177882393201192,0.11487316893125758
step4000,2,own_top,3,-0.003344595432281494,0.039735391027896784,0.4055030345916748,0.06688376116385591
step4000,2,source_aligned,6,0.0034362499912579856,0.030752854899196647,0.38872923453648883,0.055188959952236244
step4000,2,source_same_index,6,0.01488149662812551,0.05229147744068239,-0.07397794723510742,0.13145279983549185
step16000,3,own_random,12,0.045315041517217956,0.090134103640151,-0.14171874523162842,0.2409403543368718
step16000,3,own_top,3,0.27771011739969254,0.06129465808634654,-0.4519670804341634,0.2605782686570985
step16000,3,source_aligned,6,0.28901339198152226,0.1650746633031035,-0.3941917022069295,0.29986662323730057
step16000,3,source_same_index,6,0.09515941391388576,0.14386468623108378,-0.18007338047027588,0.30641300578210284
step64000,4,own_random,12,0.5804280067483584,0.7901211676869154,-1.1584588090578716,1.442158200079373
step64000,4,own_top,3,0.6010704090197881,0.3183716279136522,-1.280839482943217,0.6747787463921304
step64000,4,source_aligned,6,0.805702693760395,0.24857548599801904,-1.6370373368263245,0.6182361123393523
step64000,4,source_same_index,6,0.3034447853763898,0.4463587644932307,-0.5377843976020813,0.7877909804140832
step143000,5,own_random,12,0.16932319601376852,0.3876742595404773,-0.759727676709493,1.3619483623182436
step143000,5,own_top,3,1.4192866136630375,0.4875802405052683,-2.4419914881388345,0.39624051414147377
step143000,5,source_aligned,6,1.1773770973086357,0.46597696064766325,-2.8402010599772134,1.9485239925866247
step143000,5,source_same_index,6,0.3045591215292613,0.47807215171790807,-0.5890716711680094,0.5972869103861898
