config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
hetero4_unique_mild,position_boundary,punctuation_boundary,5,"24:1, 40:2, 48:2",40,2,1.0,0.7931836859742927,1.9177260620705419
hetero4_unique_mild,suppression_conflict,distractor_suppression,5,"16:1, 40:3, 48:1",40,3,1.0,0.890207365327124,1.4466799381904738
hetero4_unique_mild,suppression_conflict,anti_copy,5,"24:1, 40:2, 48:2",40,2,1.0,0.7355661716206764,2.1076522632184207
hetero4_unique_mild,suppression_conflict,wrong_key_suppression,5,"40:1, 48:4",48,4,1.0,0.6320720687017692,2.45512635626078
hetero4_unique_mild,suppression_conflict,recency_conflict,5,48:5,48,5,1.0,0.6839533348604127,2.2059490135757764
hetero4_unique_mild,entity_coreference,repeated_name_detection,5,"16:1, 24:1, 40:2, 48:1",40,2,1.0,0.6422071383594287,2.505800665605452
hetero4_unique_mild,entity_coreference,pronoun_antecedent,5,"24:2, 40:1, 48:2",24,2,1.0,0.6454809194419009,2.5157353553488058
hetero4_unique_mild,entity_coreference,simple_ioi_name_mover,5,48:5,48,5,1.0,0.6591320740061499,2.534957207298922
hetero4_unique_mild,entity_coreference,negative_name_control,5,48:5,48,5,1.0,0.6650795791591643,2.372948695505707
hetero4_unique_64,copy_transport,local_copy,5,64:5,64,5,1.0,0.8084197029402456,1.738579318688274
hetero4_unique_64,copy_transport,previous_token,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.8658763950058332,1.539152200193746
hetero4_unique_64,copy_transport,kv_lookup,5,64:5,64,5,0.99921875,0.5800379774856544,2.6311806524569574
hetero4_unique_64,copy_transport,duplicate_token,5,"40:2, 64:3",64,3,1.0,0.8090360862648998,1.807366660566292
hetero4_unique_64,induction,induction_short,5,"40:3, 64:2",40,3,0.9999218761920929,0.8178412215088613,1.7533575630256806
hetero4_unique_64,induction,induction_long,5,"8:1, 40:3, 64:1",40,3,0.9995738804340363,0.6544902406923969,2.4922981981656136
hetero4_unique_64,induction,induction_ngram,5,"40:3, 64:2",40,3,0.999951171875,0.6073589710110737,2.9020053495256275
hetero4_unique_64,induction,false_induction_control,5,"16:1, 40:1, 64:3",64,3,1.0,0.7897476538278966,1.722947111317636
hetero4_unique_64,position_boundary,bos_sink,5,"8:1, 64:4",64,4,1.0,0.7169287850137259,2.0663152119838593
hetero4_unique_64,position_boundary,sep_sink,5,"8:2, 16:1, 40:1, 64:1",8,2,1.0,0.877535249329162,1.6046084142309198
hetero4_unique_64,position_boundary,fixed_offset_prev,5,"16:1, 40:1, 64:3",64,3,1.0,0.7592506375274445,1.8319634629781543
hetero4_unique_64,position_boundary,punctuation_boundary,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.7138006423377254,2.0874923559770586
hetero4_unique_64,suppression_conflict,distractor_suppression,5,"8:1, 40:1, 64:3",64,3,1.0,0.7943732360178316,1.9194298587805236
hetero4_unique_64,suppression_conflict,anti_copy,5,"16:2, 40:1, 64:2",16,2,1.0,0.6797075936726888,2.190805768960444
hetero4_unique_64,suppression_conflict,wrong_key_suppression,5,64:5,64,5,1.0,0.8450050081528875,1.6185037225716261
hetero4_unique_64,suppression_conflict,recency_conflict,5,64:5,64,5,1.0,0.8831958156844868,1.5752528420376373
hetero4_unique_64,entity_coreference,repeated_name_detection,5,"16:2, 64:3",64,3,1.0,0.8104510866130579,1.7353700077541412
hetero4_unique_64,entity_coreference,pronoun_antecedent,5,64:5,64,5,1.0,0.8682014941822869,1.6245229728810024
hetero4_unique_64,entity_coreference,simple_ioi_name_mover,5,"40:1, 64:4",64,4,1.0,0.7893739008717773,1.6701191899945418
hetero4_unique_64,entity_coreference,negative_name_control,5,64:5,64,5,1.0,0.8506271449942364,1.6177887991719413
hetero4_unique_extreme,copy_transport,local_copy,5,80:5,80,5,1.0,0.9710611689137538,1.1596136729956545
hetero4_unique_extreme,copy_transport,previous_token,5,"8:1, 24:1, 80:3",80,3,1.0,0.8932890474865667,1.3980040830881544
hetero4_unique_extreme,copy_transport,kv_lookup,5,80:5,80,5,0.99921875,0.5739271856954268,2.114203412815832
hetero4_unique_extreme,copy_transport,duplicate_token,5,80:5,80,5,1.0,0.8095401434733365,1.5343296558236312
hetero4_unique_extreme,induction,induction_short,5,"24:2, 80:3",80,3,1.0,0.7042061258723361,2.0696503186648636
hetero4_unique_extreme,induction,induction_long,5,"8:1, 24:2, 80:2",24,2,0.999857959151268,0.6323838095688232,2.5272741414064406
hetero4_unique_extreme,induction,induction_ngram,5,"24:2, 80:3",80,3,1.0,0.6296442193343681,2.5471547824600123
hetero4_unique_extreme,induction,false_induction_control,5,"24:1, 80:4",80,4,1.0,0.6804241421546882,1.8561451433991245
hetero4_unique_extreme,position_boundary,bos_sink,5,"8:1, 80:4",80,4,1.0,0.8333927000148773,1.5741960558126298
hetero4_unique_extreme,position_boundary,sep_sink,5,"8:1, 24:1, 80:3",80,3,1.0,0.7964184906043631,1.5620157912618609
