config,n,role_accuracy_mean_mean,role_accuracy_mean_std,role_accuracy_min_mean,role_accuracy_min_std,role_specialization_mean_mean,role_specialization_mean_std,role_effective_heads_mean_mean,role_effective_heads_mean_std,role_top_dim_mass_mean_mean,role_top_dim_mass_mean_std,family_gap_mean,family_gap_std,family_cluster_ari_mean,family_cluster_ari_std
"8,16,40,64",5,0.9999332839250565,5.222164534991768e-05,0.9989985883235931,0.0007852492089714866,0.7760629421567086,0.0420282091338691,1.9064529830630839,0.20904921975413668,0.8214872601037204,0.034006891649585785,0.12705504969185538,0.03556940763684841,0.11336002378102675,0.046058656459287084
"64,8,16,40",5,0.9998896934092045,0.00015385098242776297,0.9987216025590897,0.001344744341531222,0.8029635818314903,0.03436313210275375,1.8293498533215906,0.1633592754212142,0.8461444546649849,0.056926556145082303,0.10040574987439063,0.0459269267396033,0.08870892191992133,0.07093269270617807
"8,64,16,40",5,0.9999431826174259,5.9048879490092476e-05,0.9991122215986252,0.000877069822015198,0.7467381495549195,0.03741045353947478,2.0558484056291717,0.15197935911205132,0.7911700643739826,0.06847507145113317,0.08559193608944535,0.053567459195586316,0.09551021289107366,0.04961520019041248
"8,16,64,40",5,0.9998572896420956,9.124006206284664e-05,0.9975852280855179,0.0018301285747760725,0.7786343527069782,0.04796431549226229,1.9138850469139619,0.2003077654822191,0.8247049550223113,0.044716827426410775,0.18608842152894706,0.0871169650811227,0.18909300746424754,0.09383760118244182
