config,family,role,n,top_dim_counts,top_dim_mode,top_dim_mode_count,accuracy_mean,specialization_mean,effective_heads_mean
"8,16,40,64",copy_transport,local_copy,5,64:5,64,5,1.0,0.8084197029402456,1.738579318688274
"8,16,40,64",copy_transport,previous_token,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.8658763950058332,1.539152200193746
"8,16,40,64",copy_transport,kv_lookup,5,64:5,64,5,0.99921875,0.5800379774856544,2.6311806524569574
"8,16,40,64",copy_transport,duplicate_token,5,"40:2, 64:3",64,3,1.0,0.8090360862648998,1.807366660566292
"8,16,40,64",induction,induction_short,5,"40:3, 64:2",40,3,0.9999218761920929,0.8178412215088613,1.7533575630256806
"8,16,40,64",induction,induction_long,5,"8:1, 40:3, 64:1",40,3,0.9995738804340363,0.6544902406923969,2.4922981981656136
"8,16,40,64",induction,induction_ngram,5,"40:3, 64:2",40,3,0.999951171875,0.6073589710110737,2.9020053495256275
"8,16,40,64",induction,false_induction_control,5,"16:1, 40:1, 64:3",64,3,1.0,0.7897476538278966,1.722947111317636
"8,16,40,64",position_boundary,bos_sink,5,"8:1, 64:4",64,4,1.0,0.7169287850137259,2.0663152119838593
"8,16,40,64",position_boundary,sep_sink,5,"8:2, 16:1, 40:1, 64:1",8,2,1.0,0.877535249329162,1.6046084142309198
"8,16,40,64",position_boundary,fixed_offset_prev,5,"16:1, 40:1, 64:3",64,3,1.0,0.7592506375274445,1.8319634629781543
"8,16,40,64",position_boundary,punctuation_boundary,5,"8:1, 16:1, 40:1, 64:2",64,2,1.0,0.7138006423377254,2.0874923559770586
"8,16,40,64",suppression_conflict,distractor_suppression,5,"8:1, 40:1, 64:3",64,3,1.0,0.7943732360178316,1.9194298587805236
"8,16,40,64",suppression_conflict,anti_copy,5,"16:2, 40:1, 64:2",16,2,1.0,0.6797075936726888,2.190805768960444
"8,16,40,64",suppression_conflict,wrong_key_suppression,5,64:5,64,5,1.0,0.8450050081528875,1.6185037225716261
"8,16,40,64",suppression_conflict,recency_conflict,5,64:5,64,5,1.0,0.8831958156844868,1.5752528420376373
"8,16,40,64",entity_coreference,repeated_name_detection,5,"16:2, 64:3",64,3,1.0,0.8104510866130579,1.7353700077541412
"8,16,40,64",entity_coreference,pronoun_antecedent,5,64:5,64,5,1.0,0.8682014941822869,1.6245229728810024
"8,16,40,64",entity_coreference,simple_ioi_name_mover,5,"40:1, 64:4",64,4,1.0,0.7893739008717773,1.6701191899945418
"8,16,40,64",entity_coreference,negative_name_control,5,64:5,64,5,1.0,0.8506271449942364,1.6177887991719413
"64,8,16,40",copy_transport,local_copy,5,64:5,64,5,1.0,0.8617749299182297,1.5966186002960179
"64,8,16,40",copy_transport,previous_token,5,"16:2, 40:1, 64:2",16,2,1.0,0.83158126195802,1.5271725851410758
"64,8,16,40",copy_transport,kv_lookup,5,"40:1, 64:4",64,4,0.99921875,0.5928969063118629,2.532936798595272
"64,8,16,40",copy_transport,duplicate_token,5,"40:1, 64:4",64,4,1.0,0.8394918002352639,1.7293179086684656
