config,head_dims,n_role_rows,uniform,largest_dim,smallest_dim,largest_dim_top_rate,smallest_dim_top_rate,mean_top_dim_mass
"8,16,40,64","[8, 16, 40, 64]",100,False,64,8,0.65,0.07,0.8214872601037203
"64,8,16,40","[64, 8, 16, 40]",100,False,64,8,0.68,0.07,0.8461444546649848
"8,64,16,40","[8, 64, 16, 40]",100,False,64,8,0.67,0.05,0.7911700643739826
"8,16,64,40","[8, 16, 64, 40]",100,False,64,8,0.6,0.05,0.8247049550223113
