config,n,role_accuracy_mean_mean,role_accuracy_mean_std,role_accuracy_min_mean,role_accuracy_min_std,role_specialization_mean_mean,role_specialization_mean_std,role_effective_heads_mean_mean,role_effective_heads_mean_std,role_top_dim_mass_mean_mean,role_top_dim_mass_mean_std,family_gap_mean,family_gap_std,family_cluster_ari_mean,family_cluster_ari_std
uniform4,5,0.9998803718388081,0.0001467539009270259,0.9978338152170181,0.002892383432711806,0.73302230120541,0.03776087617973577,2.3999225623022413,0.2563065413865758,1.0,0.0,0.15304037525768524,0.0674421172388699,0.14871691376461826,0.07158438870720786
uniform2,5,0.9988246642053127,0.0014225207968598546,0.990625,0.008323154590883794,0.6840995837181204,0.05556013314200488,2.165697140308073,0.23331068889497283,1.0,0.0,0.11680335471507622,0.05636930831503566,0.10751402121216651,0.05247046544936018
hetero4_unique_mild,5,0.9999371893703938,7.956554595357448e-05,0.998779296875,0.0015285620939939969,0.7257022132845117,0.05836644594189483,2.2062124025435166,0.20341150755312346,0.7586002558212437,0.06702001685801373,0.1371789443426723,0.05537813728680158,0.08186995106207962,0.0437266263001162
hetero4_unique_64,5,0.9999332839250565,5.222164534991768e-05,0.9989985883235931,0.0007852492089714866,0.7760629421567086,0.0420282091338691,1.9064529830630839,0.20904921975413668,0.8214872601037204,0.034006891649585785,0.12705504969185538,0.03556940763684841,0.11336002378102675,0.046058656459287084
hetero4_unique_extreme,5,0.9999538354575634,5.68178948014534e-05,0.99921875,0.000956831930774679,0.8485488546411719,0.02695453995582258,1.521819750441455,0.11055528446747152,0.9117204772466809,0.03990828701333053,0.13763084791186156,0.025299491973066936,0.11126933965812702,0.022354454748589242
hetero2_unique_mild,5,0.9999289777874946,0.00012055545835976029,0.9986505746841431,0.0022699535281298987,0.7819246780216588,0.03472012130319607,1.8021484672663657,0.12660495810419375,0.8386195740811841,0.02208253497362539,0.12845574732163656,0.00931413755288041,0.11247307664077784,0.015073315659785836
hetero2_unique_mid,5,0.9996443985402583,0.0006029481830685247,0.9963645309209823,0.005260442608291789,0.7763016013490727,0.033739082650863665,1.6916430637887043,0.06203987287953748,0.8712041678639795,0.03886635218511904,0.15127143633932819,0.05809466003181522,0.15892423901013003,0.0535421075575429
hetero2_unique_extreme,5,0.9998501868546009,0.00012373791010064316,0.997123584151268,0.002514549559678816,0.7798951045869401,0.06965990483207526,1.636098596864133,0.17655511482577615,0.9369375957767387,0.05262007510807667,0.05029367900230182,0.014247097803489504,0.039116753817333635,0.038492413085660065
