config,seed,head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_top_layer,local_top_head,local_top_head_dim,local_top_role_score,local_top_specialization,local_random_same_layer_role_score_mean,local_top_accuracy_delta,induction_top_layer,induction_top_head,induction_top_head_dim,induction_top_role_score,induction_top_specialization,induction_random_same_layer_role_score_mean,induction_top_accuracy_delta,same_top_slot,same_top_head_dim,role_distribution_tv_distance,role_distribution_overlap
hetero4_two48_center,1,"[16, 48, 48, 16]",0.00028549295529956,0.00011816608730441658,0.0004528198223852087,1.0,1.0,0,3,16,0.06594906293776148,0.44402042636343864,0.027431572809291538,-0.00634765625,0,2,48,3.143714603425906,0.47923145507156134,1.3794066402297176,-0.4062499552965164,False,False,0.15487270985705828,0.8451272901429417
hetero4_two48_center,2,"[16, 48, 48, 16]",0.00027686187604558654,0.00010977893089147983,0.00044394482392817736,1.0,1.0,1,1,48,0.021090098442982708,0.5292248629044302,0.007016365603703889,0.0,0,0,16,0.90489300142508,0.5889411420517088,0.2373924112180248,-0.1545572429895401,False,False,0.5305078612580565,0.4694921387419434
hetero4_two48_center,3,"[16, 48, 48, 16]",0.00030064206293900497,0.00012428782611095812,0.0004769963015860412,1.0,1.0,1,2,48,0.06672186168179906,0.723394726844749,0.009468290380937106,-0.0059814453125,0,1,48,0.5084580491493398,0.6515451583552547,0.1402715728218027,-0.09134109318256378,False,True,0.22695967075226073,0.7730403292477392
hetero4_two48_center,4,"[16, 48, 48, 16]",0.00027219607000006363,0.00010474425926076947,0.0004396478834678419,1.0,1.0,0,0,16,0.053336012370891694,0.530621794675778,0.011795836770943424,-0.0052490234375,0,0,16,1.4782976020869683,0.5333735243077181,0.17850536271726014,-0.23802079260349274,True,True,0.15746253589806064,0.8425374641019394
hetero4_two48_center,5,"[16, 48, 48, 16]",0.00023368652364297304,6.980203033890575e-05,0.00039757101694704033,1.0,1.0,1,1,48,0.20868473559676204,0.8205990101308335,0.011477497251917157,-0.052734375,1,1,48,2.7048813918336236,0.6405509982705375,0.8971597124436812,-0.4277343526482582,True,True,0.2832385784727871,0.716761421527213
hetero4_two48_center,6,"[16, 48, 48, 16]",0.0017257221916224808,0.00016558556126256008,0.003285858838353306,1.0,0.9995443150401115,1,1,48,0.031029805408252287,0.5391794217860779,0.003652043284091633,-0.0023193359375,1,2,48,0.6402949354960583,0.5379667467658488,0.2024804553075228,-0.12649738788604736,False,True,0.3075871197157647,0.6924128802842353
hetero4_two48_center,7,"[16, 48, 48, 16]",0.00027234706431045197,9.409903668711195e-05,0.0004505950855673291,1.0,1.0,1,1,48,0.03458860370210459,0.5410224231674173,0.004050512724461441,-0.00390625,0,1,48,0.9677406709743082,0.6020933407979636,0.30390923169761663,-0.1994791254401207,False,True,0.5593217356403246,0.44067826435967533
hetero4_two48_center,8,"[16, 48, 48, 16]",0.00029280027592903934,0.00010476713396201376,0.0004808334088011179,1.0,1.0,1,2,48,0.07750958776705374,0.6767348934973306,0.013822962905578606,-0.0155029296875,1,2,48,0.4926778274202661,0.5215161702899372,0.06200996309416951,-0.09934891015291214,True,True,0.4238749915721851,0.5761250084278149
hetero4_two48_center,9,"[16, 48, 48, 16]",0.00030617233278462663,0.00012273969514353666,0.0004896049686067272,1.0,1.0,1,1,48,0.04714745679484622,0.6170810191193103,0.0107988730615034,-0.00146484375,0,2,48,0.8824141869954474,0.6855569758298781,0.1347777942828543,-0.17369787395000458,False,True,0.3339307555194947,0.6660692444805052
hetero4_two48_center,10,"[16, 48, 48, 16]",0.0002592494165583048,0.00010369909432483837,0.00041479974242975004,1.0,1.0,1,2,48,0.026028701751783956,0.5124528316164662,0.009221051504482602,-0.000244140625,0,0,16,4.823112894006044,0.9423377636158655,0.10935296582101728,-0.46796872466802597,False,False,0.5799249142705627,0.4200750857294372
hetero4_two48_skip,1,"[48, 16, 48, 16]",0.00026350931875640526,8.965071265265578e-05,0.00043736791849369183,1.0,1.0,1,0,48,0.019865476321683673,0.5989621468155517,0.008046663103868923,-0.000244140625,0,2,48,1.3713656922554947,0.45937276264284627,0.261146532411658,-0.19889318943023682,False,True,0.46529988818118884,0.5347001118188112
hetero4_two48_skip,2,"[48, 16, 48, 16]",0.010314716142602265,0.00028718621979351155,0.020342246163636446,1.0,0.9955729767680168,1,2,48,0.03506704666142468,0.5409130171247812,0.010894780441049079,-0.000732421875,0,0,48,2.0984035576693714,0.47085495696806173,0.9142024568282068,-0.28248700499534607,False,True,0.27005430994823926,0.7299456900517607
hetero4_two48_skip,3,"[48, 16, 48, 16]",0.0002974216149596032,0.0001248226544703357,0.00047002057908684947,1.0,1.0,1,2,48,0.06207024417381035,0.6944027250290186,0.007068700193485711,-0.01025390625,0,0,48,0.49676624242783873,0.8144575376095162,0.051052111191893346,-0.09967443346977234,False,True,0.1847986143911593,0.8152013856088407
hetero4_two48_skip,4,"[48, 16, 48, 16]",0.00028359691714285873,0.00011994009219051804,0.0004472537475521676,1.0,1.0,1,2,48,0.045300700521693216,0.6734799108005228,0.007973418359597417,-0.003662109375,0,0,48,1.3695325897497241,0.5914653950625367,0.2671560379167204,-0.21555985510349274,False,True,0.6060563776661416,0.3939436223338583
hetero4_two48_skip,5,"[48, 16, 48, 16]",0.00026968603197019547,0.00010500083681108663,0.0004343712244008202,1.0,1.0,1,0,48,0.046354305194654444,0.7699007699732242,0.003579370581974217,-0.0069580078125,0,3,16,0.7971291816320445,0.6457308186873038,0.11277020275520044,-0.14615880697965622,False,False,0.3986328019928387,0.6013671980071613
hetero4_two48_skip,6,"[48, 16, 48, 16]",0.00027497480186866596,0.00010293722607457312,0.0004470123712962959,1.0,1.0,1,2,48,0.029104976677444938,0.6660478106326989,0.007043878736567422,-0.0010986328125,1,2,48,0.41875204827738344,0.5609989157974209,0.1579600694203691,-0.07760411500930786,True,True,0.276847521244029,0.723152478755971
hetero4_two48_skip,7,"[48, 16, 48, 16]",0.0003123186688753776,0.00013520945140044205,0.0004894278863503132,1.0,1.0,0,3,16,0.05806860824304749,0.5248489633896002,0.011696664932514977,-0.0054931640625,0,3,16,1.2102159567257331,0.39185375211440127,0.7391427462534921,-0.17682286351919174,True,True,0.2251863574427269,0.7748136425572731
hetero4_two48_skip,8,"[48, 16, 48, 16]",0.00027841181872645393,0.00011194189755769912,0.00044488174899015576,1.0,1.0,1,2,48,0.09274118794382957,0.7509785019887468,0.015102159480193222,-0.01611328125,0,2,48,1.0482428221584996,0.43647894248502817,0.49928140883275773,-0.19082026928663254,False,True,0.611844802798209,0.388155197201791
hetero4_two48_skip,9,"[48, 16, 48, 16]",0.00030238195176934823,0.00012922441419505049,0.00047553948388667777,1.0,1.0,1,2,48,0.03318909098561562,0.5567574360615822,0.012658307148740278,-0.002685546875,0,2,48,2.083825067958969,0.7594429802012126,0.31417698621953605,-0.2932291254401207,False,True,0.6523071952805888,0.3476928047194112
hetero4_two48_skip,10,"[48, 16, 48, 16]",0.01988353719934821,0.0030271467912825756,0.03673992748372257,0.99951171875,0.9909505769610405,1,0,48,0.053241929395881016,0.527238176826918,0.012554850585729582,-0.00244140625,0,0,48,2.9027480066288263,0.8742277345551994,0.12586401985026896,-0.36373700201511383,False,True,0.5024145416484123,0.49758545835158774
hetero4_two48_front,1,"[48, 48, 16, 16]",0.000325191838783212,0.0001020722138491692,0.0005483114655362442,1.0,1.0,1,0,48,0.023325711297729868,0.6794791235758664,0.002841503686795477,-0.003173828125,0,0,48,2.0537983095709933,0.5676267778595951,0.5863313007539546,-0.24368486553430557,False,True,0.8176006518689494,0.18239934813105066
hetero4_two48_front,2,"[48, 48, 16, 16]",0.0002817612257786095,0.00011030170662706951,0.00045322075311560184,1.0,1.0,1,1,48,0.038341022510394396,0.576288350211143,0.010528204909405758,-0.0003662109375,0,0,48,0.71292338326748,0.7998636738488504,0.029526525824621785,-0.14602860063314438,False,True,0.3313302937025945,0.6686697062974056
hetero4_two48_front,3,"[48, 48, 16, 16]",0.00028706965895253234,0.00011742018341465155,0.00045671913903788663,1.0,1.0,1,0,48,0.041480016464447544,0.503745810934008,0.0007085959196047042,-0.0042724609375,1,0,48,0.4721537209661619,0.5270373793411335,0.11190307896686136,-0.09550776332616806,True,True,0.2193977328795424,0.7806022671204577
hetero4_two48_front,4,"[48, 48, 16, 16]",0.0002739913179539144,0.00011273949257883942,0.0004352431424194947,1.0,1.0,1,1,48,0.09549701855667081,0.7043406024003088,0.010972808619044372,-0.0206298828125,1,1,48,0.5625227589480346,0.6288673664349496,0.09175221259647515,-0.1089843288064003,True,True,0.5020439209076049,0.49795607909239514
hetero4_two48_front,5,"[48, 48, 16, 16]",0.0002676624935702421,7.616946368216304e-05,0.0004591555189108476,1.0,1.0,1,0,48,0.04433788048208953,0.6940959228836207,0.0049735342827261775,-0.0079345703125,1,0,48,2.5502237468172098,0.8321361849307998,0.23163510744052473,-0.38652340322732925,True,True,0.17488519252365214,0.8251148074763478
hetero4_two48_front,6,"[48, 48, 16, 16]",0.00028978836053283885,0.000105478725345165,0.0004740980002679862,1.0,1.0,1,1,48,0.038949303870140284,0.7310733919727488,0.0037151288815948647,-0.0020751953125,1,1,48,0.4899444143738947,0.5653261063165229,0.09771534013998462,-0.09381505101919174,True,True,0.3941087599338969,0.6058912400661031
