config,n_models,eval_loss_mean,local_loss_mean,induction_loss_mean,local_accuracy_mean,induction_accuracy_mean,local_top_specialization_mean,induction_top_specialization_mean,local_top_loss_delta_mean,induction_top_loss_delta_mean,local_random_same_layer_loss_delta_mean,induction_random_same_layer_loss_delta_mean,same_top_slot_rate,same_top_head_dim_rate,role_distribution_tv_distance_mean,role_distribution_overlap_mean,local_raw_role_similarity_mean,local_aligned_role_similarity_mean,local_random_role_similarity_mean,local_raw_top_head_match_rate,local_aligned_top_head_match_rate,induction_raw_role_similarity_mean,induction_aligned_role_similarity_mean,induction_random_role_similarity_mean,induction_raw_top_head_match_rate,induction_aligned_top_head_match_rate,local_top_head_dim_counts_json,induction_top_head_dim_counts_json,local_top_slot_counts_json,induction_top_slot_counts_json
uniform4,10,0.0015725524568551918,0.00016273424589599017,0.002982370656900457,0.99998779296875,0.9994336016476154,0.5621745847328262,0.5786359886065758,0.04215981897050369,2.4612085410310103,0.006976504901160752,0.48548301271821404,0.3,1.0,0.39783445974893256,0.6021655402510675,0.5533186856743529,0.6238443000398499,0.5731592935617847,0.3333333333333333,0.25555555555555554,0.6585684241658676,0.6973637327499733,0.6673732328658372,0.23333333333333334,0.36666666666666664,"{""32"": 10}","{""32"": 10}","{""L0H0:d32"": 2, ""L0H1:d32"": 1, ""L0H2:d32"": 1, ""L0H3:d32"": 1, ""L1H1:d32"": 1, ""L1H2:d32"": 4}","{""L0H0:d32"": 2, ""L0H1:d32"": 2, ""L0H2:d32"": 2, ""L0H3:d32"": 2, ""L1H1:d32"": 1, ""L1H3:d32"": 1}"
hetero4,10,0.00028418302354111803,0.00011196412879144191,0.0004564019214740256,1.0,1.0,0.9251458524783482,0.8189608258501977,0.14035106974852168,2.7556715612936387,0.0040989134419305625,0.20309072338859552,0.2,0.5,0.5275372516018166,0.4724627483981834,0.6450606633391917,0.49966974030413824,0.3300708468294753,0.6111111111111112,0.4,0.6731244513323072,0.5108061819020298,0.35044878027589405,0.6555555555555556,0.43333333333333335,"{""64"": 10}","{""16"": 5, ""64"": 5}","{""L1H3:d64"": 10}","{""L0H0:d16"": 4, ""L0H1:d16"": 1, ""L0H3:d64"": 3, ""L1H3:d64"": 2}"
hetero4_64first,10,0.0005241171395027778,0.00011832215368485776,0.0009299121276853839,1.0,0.9999023497104644,0.932721341878427,0.7628341364783857,0.13226850796945655,2.8645880036576274,0.0030484501691262268,0.38008077655940725,0.3,0.4,0.49013191087162744,0.5098680891283724,0.6509908988828854,0.4200414229752014,0.3167073346768768,0.6111111111111112,0.35555555555555557,0.6787626813828403,0.4950133712436846,0.36669715428896593,0.6,0.4111111111111111,"{""64"": 10}","{""16"": 6, ""64"": 4}","{""L1H0:d64"": 10}","{""L0H0:d64"": 1, ""L0H1:d16"": 3, ""L0H2:d16"": 3, ""L1H0:d64"": 3}"
hetero4_64second,10,0.0003405627026950242,0.00011337445921526524,0.0005677509416273097,1.0,0.9999934904277324,0.9446597639835831,0.7803757876281692,0.14607511572667137,2.735627020586617,0.002866555125137893,0.31979745242588253,0.3,0.4,0.47475945942695075,0.5252405405730493,0.6555914020081489,0.4815768505481806,0.32678041197160446,0.6333333333333333,0.4222222222222222,0.6660399642301781,0.5460474145647015,0.3676179460892375,0.6333333333333333,0.45555555555555555,"{""64"": 10}","{""16"": 6, ""64"": 4}","{""L1H1:d64"": 10}","{""L0H0:d16"": 3, ""L0H1:d64"": 1, ""L0H2:d16"": 3, ""L1H1:d64"": 3}"
hetero4_64third,10,0.00028376976006256883,0.00010798321663969545,0.00045955630121170544,1.0,1.0,0.9566236850053377,0.7628818464909214,0.16603222806379564,2.100657969693566,0.0026865807836429665,0.26281206062458295,0.4,0.6,0.41370543433356544,0.5862945656664345,0.6591514093953385,0.4966519755411599,0.3291106956674553,0.5888888888888889,0.4,0.704119221899069,0.5338747615913382,0.38900410427049514,0.6111111111111112,0.37777777777777777,"{""64"": 10}","{""16"": 4, ""64"": 6}","{""L1H2:d64"": 10}","{""L0H0:d16"": 3, ""L0H2:d64"": 2, ""L0H3:d16"": 1, ""L1H2:d64"": 4}"
hetero4_two48_center,10,0.00042251707691320917,0.00011176696552865906,0.0007332671892072539,1.0,0.9999544315040112,0.5934331410105831,0.6183113275356275,0.06320859264542378,1.6546485162813043,0.01087350062969108,0.3645266109633667,0.3,0.7,0.35576808729565546,0.6442319127043445,0.5968583582855094,0.5712513114420142,0.4121947338456776,0.3333333333333333,0.4111111111111111,0.6518351302836407,0.6259827422431015,0.46771941891642493,0.3333333333333333,0.34444444444444444,"{""16"": 2, ""48"": 8}","{""16"": 3, ""48"": 7}","{""L0H0:d16"": 1, ""L0H3:d16"": 1, ""L1H1:d48"": 5, ""L1H2:d48"": 3}","{""L0H0:d16"": 3, ""L0H1:d48"": 2, ""L0H2:d48"": 2, ""L1H1:d48"": 1, ""L1H2:d48"": 2}"
hetero4_two48_skip,10,0.0032480554466019383,0.0004233060296428448,0.006072804860741599,0.999951171875,0.9986523553729058,0.6303529458642645,0.6004883796123527,0.047500356611908504,1.3796981165483886,0.009661879356372083,0.3442752571680103,0.2,0.9,0.41934424105935336,0.5806557589406467,0.6029419619569439,0.5501700695643879,0.41223968440819964,0.36666666666666664,0.35555555555555557,0.6890024178482043,0.6293448945390056,0.4854624932346003,0.37777777777777777,0.3888888888888889,"{""16"": 1, ""48"": 9}","{""16"": 2, ""48"": 8}","{""L0H3:d16"": 1, ""L1H0:d48"": 3, ""L1H2:d48"": 6}","{""L0H0:d48"": 4, ""L0H2:d48"": 3, ""L0H3:d16"": 2, ""L1H2:d48"": 1}"
hetero4_two48_front,10,0.00031624750881746876,0.00010872809716602205,0.0005237669221969555,1.0,1.0,0.652141812067194,0.6467383070600982,0.049607827136878765,1.417081167501965,0.007890883249660873,0.2752515004012821,0.5,0.8,0.3801747541900331,0.6198252458099668,0.643993124782961,0.5211888635906463,0.4077973135425517,0.4,0.35555555555555557,0.6749047361180419,0.592316205907783,0.4523949404647356,0.5,0.5,"{""16"": 1, ""48"": 9}","{""16"": 1, ""48"": 9}","{""L0H3:d16"": 1, ""L1H0:d48"": 3, ""L1H1:d48"": 6}","{""L0H0:d48"": 4, ""L0H2:d16"": 1, ""L1H0:d48"": 2, ""L1H1:d48"": 3}"
uniform2,10,0.0012312366481637583,0.000134198590512824,0.002328274690444232,1.0,0.9994466193020344,0.6386029243504137,0.6972280525519864,0.1276741489401502,3.1241246242887426,0.07120743651003067,1.2712213457441977,0.2,1.0,0.5112901898600452,0.48870981013995485,0.7141039287599121,0.7627223770407282,0.7144436543989675,0.5,0.5888888888888889,0.787157817107726,0.8097221164670886,0.7958799429979068,0.45555555555555555,0.5666666666666667,"{""64"": 10}","{""64"": 10}","{""L1H0:d64"": 4, ""L1H1:d64"": 6}","{""L0H0:d64"": 4, ""L0H1:d64"": 4, ""L1H0:d64"": 1, ""L1H1:d64"": 1}"
