revision,revision_index,n_seeds,selected_specialization_mean_mean,selected_specialization_mean_std,selected_specialization_max_mean,selected_specialization_max_std,baseline_loss_mean,baseline_loss_std,own_top_loss_delta_mean,own_top_loss_delta_std,random_loss_delta_mean_mean,random_loss_delta_mean_std,own_top_excess_over_random_mean,own_top_excess_over_random_std,source_same_index_loss_delta_mean_mean,source_same_index_loss_delta_mean_std,source_aligned_loss_delta_mean_mean,source_aligned_loss_delta_mean_std,aligned_minus_same_index_loss_delta_mean_mean,aligned_minus_same_index_loss_delta_mean_std,source_dir,selected_revision_index
step4000,0,9,0.5039310414460102,0.029025018698696427,0.8381699563040003,0.03991156103849256,1.8122213847107358,0.23722160683903604,0.15628128581576878,0.19674366860080306,-0.009603909734222624,0.016659374697294244,0.1658851955499914,0.1919896017633174,-0.004881128875745667,0.027723785456397008,0.16822124645113945,0.19584368263529936,0.1731023753268851,0.18008859187358547,results/phase1_pythia160m_repeat_match_alignment_seed9_step4000,0
step16000,0,9,0.7107090862454426,0.11098561786660988,0.8326180025564368,0.12644071381208086,1.1289986338880327,0.16103299461762868,0.4274965284599198,0.28497792686539647,0.06250884446005027,0.046368959882456644,0.3649876839998696,0.2953878969387633,0.07851033399088515,0.050547522046121604,0.3958332565509611,0.2852303116937686,0.31732292256007594,0.305399074644013,results/phase1_pythia160m_repeat_match_alignment_seed9_step16000,1
step143000,0,9,0.7902597993118169,0.10488430146773554,0.8503101483197182,0.038519828335954034,2.275915483633677,0.6047698270330779,1.4895392838451598,0.48800820580294424,0.230957736985551,0.2078995571960539,1.2585815468596087,0.47695696146897376,0.254056963034802,0.13648994712674847,1.0619041240877576,0.4923433907243286,0.8078471610529555,0.48776036576164644,results/phase1_pythia160m_repeat_match_alignment_seed9_step143000,2
