config,n_models,eval_loss_mean,local_loss_mean,induction_loss_mean,local_accuracy_mean,induction_accuracy_mean,local_top_specialization_mean,induction_top_specialization_mean,local_top_loss_delta_mean,induction_top_loss_delta_mean,local_random_same_layer_loss_delta_mean,induction_random_same_layer_loss_delta_mean,same_top_slot_rate,same_top_head_dim_rate,local_raw_role_similarity_mean,local_aligned_role_similarity_mean,local_random_role_similarity_mean,local_raw_top_head_match_rate,local_aligned_top_head_match_rate,induction_raw_role_similarity_mean,induction_aligned_role_similarity_mean,induction_random_role_similarity_mean,induction_raw_top_head_match_rate,induction_aligned_top_head_match_rate,local_top_head_dim_counts_json,induction_top_head_dim_counts_json
uniform4,5,0.0006925311579834669,0.00018273000387125649,0.0012023323273751886,1.0,0.9998698055744171,0.49241525200307007,0.5998899966063734,0.03115654895300395,1.4998472935461904,0.01132183395930042,0.5185981464404904,0.0,1.0,0.563512135738463,0.5454493381072266,0.5682535414050965,0.25,0.25,0.6677989568114012,0.7585161464584073,0.6711838366998102,0.25,0.5,"{""32"": 5}","{""32"": 5}"
hetero4,5,0.001955220078525599,0.0001793660172552336,0.003731074125971645,1.0,0.999218761920929,0.885684531332432,0.8188345557092601,0.15643378906461294,2.6602557398960927,0.004005878753741854,0.22829405809170566,0.6,1.0,0.6229164961976441,0.44415309610883436,0.34354561589103993,0.6,0.4,0.6732454965859768,0.4873250426705746,0.3858364227239467,0.6,0.35,"{""16"": 1, ""64"": 4}","{""16"": 1, ""64"": 4}"
uniform2,5,0.005303014101809822,0.001016285536752548,0.00958974266250152,0.999951171875,0.9975781351327896,0.6460678971249657,0.7039301095977424,0.14131393927527824,3.285815052149701,0.07725815299345414,0.970585371015477,0.4,1.0,0.7569662289961031,0.7003798638795319,0.7386673975867424,0.6,0.45,0.7371704135502544,0.8049686255496313,0.7553051801288826,0.5,0.65,"{""64"": 5}","{""64"": 5}"
hetero4_64first,5,0.003491949161980301,0.0009191621385980398,0.006064736197004095,0.99990234375,0.9986458420753479,0.9186548954593945,0.7219993286652784,0.13818842113832944,2.759239414980402,0.0041779246690566655,0.44646351521951144,0.2,0.4,0.6515952803780781,0.3809396151417127,0.34310396610780997,0.55,0.3,0.6424749509443041,0.3943546596428081,0.38380280945976153,0.55,0.3,"{""64"": 5}","{""16"": 3, ""64"": 2}"
