model_size,seed,revision,revision_index,condition,control_id,heads_json,baseline_loss,ablated_loss,loss_delta,baseline_target_logit,ablated_target_logit,target_logit_delta
14m,3,step16000,5,own_random,4,"[[0, 3], [1, 0]]",5.831369519233704,3.718277931213379,-2.1130915880203247,6.253162503242493,8.77921974658966,2.526057243347168
14m,3,step16000,5,own_random,5,"[[0, 1], [1, 0]]",5.831369519233704,2.9919004142284393,-2.8394691050052643,6.253162503242493,9.83933436870575,3.586171865463257
14m,3,step16000,5,own_random,6,"[[0, 1], [1, 3]]",5.831369519233704,2.24262472987175,-3.5887447893619537,6.253162503242493,11.183796763420105,4.930634260177612
14m,3,step16000,5,own_random,7,"[[0, 1], [1, 3]]",5.831369519233704,2.24262472987175,-3.5887447893619537,6.253162503242493,11.183796763420105,4.930634260177612
14m,3,step64000,6,own_top,,"[[0, 3], [1, 1]]",6.61322420835495,5.8596192598342896,-0.7536049485206604,65.81427764892578,66.37628173828125,0.5620040893554688
14m,3,step64000,6,own_random,0,"[[0, 0], [1, 3]]",6.61322420835495,4.460732668638229,-2.1524915397167206,65.81427764892578,65.9028434753418,0.08856582641601562
14m,3,step64000,6,own_random,1,"[[0, 1], [1, 3]]",6.61322420835495,2.935607433319092,-3.677616775035858,65.81427764892578,65.92409896850586,0.10982131958007812
14m,3,step64000,6,own_random,2,"[[0, 1], [1, 3]]",6.61322420835495,2.935607433319092,-3.677616775035858,65.81427764892578,65.92409896850586,0.10982131958007812
14m,3,step64000,6,own_random,3,"[[0, 2], [1, 3]]",6.61322420835495,3.5323858559131622,-3.0808383524417877,65.81427764892578,66.92281436920166,1.108536720275879
14m,3,step64000,6,own_random,4,"[[0, 1], [1, 3]]",6.61322420835495,2.935607433319092,-3.677616775035858,65.81427764892578,65.92409896850586,0.10982131958007812
14m,3,step64000,6,own_random,5,"[[0, 2], [1, 0]]",6.61322420835495,5.356947839260101,-1.2562763690948486,65.81427764892578,65.28674793243408,-0.5275297164916992
14m,3,step64000,6,own_random,6,"[[0, 1], [1, 0]]",6.61322420835495,4.539274752140045,-2.073949456214905,65.81427764892578,64.99081468582153,-0.823462963104248
14m,3,step64000,6,own_random,7,"[[0, 0], [1, 3]]",6.61322420835495,4.460732668638229,-2.1524915397167206,65.81427764892578,65.9028434753418,0.08856582641601562
14m,3,step143000,7,own_top,,"[[0, 3], [1, 1]]",18.654368042945862,18.27140474319458,-0.38296329975128174,1905.0374298095703,1909.1971130371094,4.1596832275390625
14m,3,step143000,7,own_random,0,"[[0, 0], [1, 3]]",18.654368042945862,16.803953647613525,-1.8504143953323364,1905.0374298095703,1901.842300415039,-3.19512939453125
14m,3,step143000,7,own_random,1,"[[0, 2], [1, 0]]",18.654368042945862,16.79971343278885,-1.854654610157013,1905.0374298095703,1902.4411163330078,-2.5963134765625
14m,3,step143000,7,own_random,2,"[[0, 2], [1, 2]]",18.654368042945862,12.978201925754547,-5.676166117191315,1905.0374298095703,1905.086654663086,0.049224853515625
14m,3,step143000,7,own_random,3,"[[0, 2], [1, 3]]",18.654368042945862,14.664242804050446,-3.9901252388954163,1905.0374298095703,1905.5531616210938,0.5157318115234375
14m,3,step143000,7,own_random,4,"[[0, 1], [1, 2]]",18.654368042945862,11.826940327882767,-6.827427715063095,1905.0374298095703,1902.3538208007812,-2.6836090087890625
14m,3,step143000,7,own_random,5,"[[0, 2], [1, 2]]",18.654368042945862,12.978201925754547,-5.676166117191315,1905.0374298095703,1905.086654663086,0.049224853515625
14m,3,step143000,7,own_random,6,"[[0, 2], [1, 0]]",18.654368042945862,16.79971343278885,-1.854654610157013,1905.0374298095703,1902.4411163330078,-2.5963134765625
14m,3,step143000,7,own_random,7,"[[0, 2], [1, 2]]",18.654368042945862,12.978201925754547,-5.676166117191315,1905.0374298095703,1905.086654663086,0.049224853515625
