model_size,seed,revision,revision_index,selected_heads_json,selected_repeat_score_mean,selected_specialization_mean,selected_specialization_max,baseline_loss,baseline_target_logit,own_top_loss_delta,own_top_target_logit_delta,random_loss_delta_mean,random_loss_delta_std,random_target_logit_delta_mean,random_target_logit_delta_std,excess_loss_delta_over_random,excess_target_logit_drop_over_random
14m,1,step0,0,"[[0, 1], [1, 0]]",0.021765829995274544,0.2543646081636284,0.2559911839672061,11.024901509284973,0.0010359594889450818,0.0028891563415527344,-0.00248679137439467,-0.0008793771266937256,0.003125230511633194,0.0010325738539904705,0.003018907596125503,0.00376853346824646,0.0035193652283851407
14m,1,step64,1,"[[0, 1], [1, 0]]",0.021869383519515395,0.2552305435475489,0.2576416150364383,11.019672274589539,-0.08302319003269076,0.001062631607055664,-0.0005602303426712751,0.000421181321144104,0.0014495021363458132,0.00013837424921803176,0.0014450682526211528,0.0006414502859115601,0.0006986045918893069
14m,1,step256,2,"[[0, 1], [1, 0]]",0.0226707257097587,0.26782060734400803,0.28227004967382846,11.685064673423767,-1.9862290024757385,0.004825711250305176,-0.006749272346496582,0.004333987832069397,0.004634967785510259,-0.0036307238042354584,0.005073035067848313,0.0004917234182357788,0.0031185485422611237
14m,1,step1000,3,"[[0, 2], [1, 2]]",0.021122591686435044,0.2845090119154142,0.3037084111567998,13.525898933410645,-2.407487452030182,0.01052999496459961,0.02175787091255188,0.008416756987571716,0.005520056548058687,-0.00642915815114975,0.0018606651702053596,0.002113237977027893,-0.02818702906370163
14m,1,step4000,4,"[[0, 3], [1, 2]]",0.04057115432806313,0.4168326807484515,0.5512026498787279,3.8284107446670532,8.737208485603333,-0.20758166909217834,0.36966097354888916,-0.14737403392791748,0.2765073755764522,0.19795194268226624,0.3952110456020257,-0.060207635164260864,-0.17170903086662292
14m,1,step16000,5,"[[0, 2], [1, 2]]",0.39245432266034186,0.6157972472971753,0.9617228398396694,6.862236678600311,5.6830193400383,0.49226105213165283,-0.07455074787139893,-3.5213176012039185,1.8016528324900403,4.77581012994051,2.528744035076149,4.013578653335571,4.850360877811909
14m,1,step64000,6,"[[0, 3], [1, 2]]",0.38873795000836253,0.6291605696965344,0.9532136532703822,4.586134999990463,21.288753747940063,4.9702185690402985,-4.434102416038513,-0.523584820330143,1.4472230938699728,0.00410345196723938,1.4346614189434344,5.493803389370441,4.438205868005753
14m,1,step143000,7,"[[0, 1], [1, 2]]",0.40975744975730777,0.6186174336283079,0.9524742896445112,10.880323350429535,1235.8784942626953,8.875836312770844,-2.6767120361328125,-1.1826901026070118,1.6197113985567047,-4.921468734741211,2.1660598323295077,10.058526415377855,-2.2447566986083984
14m,2,step0,0,"[[0, 0], [1, 2]]",0.022293870337307453,0.25877122916349493,0.26276422772743535,11.03928256034851,-0.012130710412748158,0.0003255605697631836,-9.690865408629179e-05,-0.0010736137628555298,0.001924175542994958,0.0012568871498075396,0.001918419726343594,0.0013991743326187134,0.0013537958038938314
14m,2,step64,1,"[[0, 0], [1, 2]]",0.022369465907104313,0.2600016860064604,0.26540759998102187,11.027186155319214,-0.08810238353908062,-0.0002911090850830078,0.00048659229651093483,-0.00028946995735168457,0.0005401903805152545,0.0005472012853715569,0.00022560161008207912,-1.6391277313232422e-06,6.060898886062205e-05
14m,2,step256,2,"[[0, 2], [1, 2]]",0.021782482392154634,0.2607127360984531,0.2668758067592121,11.666978001594543,-2.017436310648918,0.020133137702941895,-0.024300336837768555,0.0021233707666397095,0.0033401837926941447,-0.0014336109161376953,0.005339867479936904,0.018009766936302185,0.02286672592163086
14m,2,step1000,3,"[[0, 0], [1, 3]]",0.020633098320104182,0.27072275689471537,0.28207274001331406,13.41674268245697,-2.3462102711200714,0.0986330509185791,-0.04991087317466736,-0.00871780514717102,0.014715815045242664,0.0037876442074775696,0.017335095754423536,0.10735085606575012,0.05369851738214493
14m,2,step4000,4,"[[0, 1], [1, 1]]",0.03573136928025633,0.33021772406961236,0.36609533998401517,3.509689122438431,9.109403848648071,-0.0468481183052063,0.12901830673217773,-0.06741276755928993,0.06069446793384769,0.07599987089633942,0.12778192398744823,0.020564649254083633,-0.05301843583583832
14m,2,step16000,5,"[[0, 1], [1, 1]]",0.38165056239813566,0.6717361924528344,0.9334585456662137,5.761646628379822,6.744363367557526,-1.0840020775794983,1.5878247618675232,-1.619490146636963,1.529869655697919,2.0899217799305916,1.910547934472692,0.5354880690574646,0.5020970180630684
14m,2,step64000,6,"[[0, 2], [1, 1]]",0.47963692364282906,0.6762045045111093,0.9607475513883671,7.972135066986084,364.42884063720703,3.423291325569153,-1.9981155395507812,-1.5697813928127289,0.40904425387343907,-2.7529497146606445,2.146848504046558,4.993072718381882,-0.7548341751098633
14m,2,step143000,7,"[[0, 2], [1, 1]]",0.4657997216563672,0.7253301536660998,0.9617158107389228,11.037506818771362,1229.554702758789,6.757026433944702,-12.1688232421875,-1.2861953899264336,0.5546091841299304,-8.985225677490234,4.297983011401573,8.043221823871136,3.1835975646972656
14m,3,step0,0,"[[0, 2], [1, 3]]",0.022464042995125055,0.26389207578048757,0.2702725658474838,11.020823240280151,0.008339698892086744,0.002153754234313965,-0.0022944119991734624,-0.00014628469944000244,0.0030818989389451703,0.00014926885705790482,0.0034319972972120124,0.0023000389337539673,0.002443680856231367
14m,3,step64,1,"[[0, 2], [1, 3]]",0.022576542920432985,0.2646449933020093,0.2706841875446727,11.045734524726868,-0.10316600510850549,0.002596259117126465,-0.0031914864666759968,-0.000477522611618042,0.0010101287759156845,0.0014866880956105888,0.000837488773931303,0.003073781728744507,0.004678174562286586
14m,3,step256,2,"[[0, 2], [1, 3]]",0.022356097819283605,0.2701881282262084,0.2793716189603044,11.685364484786987,-2.0114904791116714,0.010617971420288086,-0.012168362736701965,-8.530914783477783e-05,0.006553678158527758,-2.5831162929534912e-05,0.007763131577686871,0.010703280568122864,0.01214253157377243
14m,3,step1000,3,"[[0, 1], [1, 2]]",0.020758542697876692,0.2835674330633554,0.3051123799440207,13.66400694847107,-2.5275975167751312,0.04907560348510742,-0.030140727758407593,0.00842374563217163,0.011623662969026761,-0.0026728175580501556,0.019503918573448933,0.04065185785293579,0.027467910200357437
14m,3,step4000,4,"[[0, 0], [1, 2]]",0.03737229108810425,0.3554036938361017,0.42322061280998385,3.745611071586609,8.541402339935303,-0.09214183688163757,0.19152379035949707,-0.29850971326231956,0.20683821513775152,0.3939479887485504,0.32100446007772554,0.206367876380682,0.20242419838905334
14m,3,step16000,5,"[[0, 0], [1, 2]]",0.04216319415718317,0.38217231644390026,0.4685968032120264,5.831369519233704,6.253162503242493,-3.4494757652282715,4.733362793922424,-2.867569614201784,0.5520590052787463,3.7044493183493614,0.8958233001710928,-0.5819061510264874,-1.028913475573063
14m,3,step64000,6,"[[0, 3], [1, 1]]",0.04918466112576425,0.46095106726987883,0.5809856698517345,6.61322420835495,65.81427764892578,-0.7536049485206604,0.5620040893554688,-2.7186121977865696,0.8721581314406696,0.03301745653152466,0.5277761447834899,1.9650072492659092,-0.5289866328239441
14m,3,step143000,7,"[[0, 3], [1, 1]]",0.05519292107783258,0.5178180312205214,0.6676720241345453,18.654368042945862,1905.0374298095703,-0.38296329975128174,4.1596832275390625,-4.175721865147352,1.936548157036866,-1.300994873046875,1.4842861827948508,3.7927585653960705,-5.4606781005859375
