revision,revision_index,n_seeds,selected_repeat_score_mean_mean,selected_repeat_score_mean_std,selected_specialization_mean_mean,selected_specialization_mean_std,selected_specialization_max_mean,selected_specialization_max_std,baseline_loss_mean,baseline_loss_std,baseline_target_logit_mean,baseline_target_logit_std,own_top_loss_delta_mean,own_top_loss_delta_std,own_top_target_logit_delta_mean,own_top_target_logit_delta_std,random_loss_delta_mean_mean,random_loss_delta_mean_std,random_target_logit_delta_mean_mean,random_target_logit_delta_mean_std,excess_loss_delta_over_random_mean,excess_loss_delta_over_random_std,excess_target_logit_drop_over_random_mean,excess_target_logit_drop_over_random_std
step0,0,3,0.022174581109235685,0.00029726283346620096,0.2590093043692036,0.0038932137239265493,0.2630093258473751,0.0058329250477428965,11.028335769971212,0.007917585246033745,-0.0009183506772387773,0.008470494296718267,0.0017894903818766277,0.0010778131983878848,-0.0016260373425514747,0.0010841058882532534,-0.0006997585296630859,0.0003993176916217807,0.0008129099536186383,0.0004781169609020569,0.0024892489115397134,0.0009764957723635835,0.002438947296170113,0.0008840963514670578
step64,1,3,0.022271797449017566,0.00029684221437806913,0.25995907428533954,0.0038435511239735417,0.2645778008540443,0.005356839824093286,11.030864318211874,0.010953139040289796,-0.09143052622675896,0.008553387247431174,0.001122593879699707,0.001179525438297982,-0.0010883748376121123,0.0015473134357554305,-0.00011527041594187419,0.0003870196376249988,0.0007240878767333925,0.0005644786424930411,0.0012378642956415813,0.001324471118186001,0.0018124627143455048,0.002043034979949095
step256,2,3,0.02226976864039898,0.0003677259787416342,0.2662404905562232,0.004026441008381272,0.27617249179778164,0.00667939566528027,11.679135719935099,0.00859767635855156,-2.005051930745443,0.013529355728739168,0.011858940124511719,0.006310537676213623,-0.014405990640322367,0.0073378107620957565,0.0021240164836247763,0.001804170494873911,-0.0016967219611008961,0.0014834044863807083,0.009734923640886942,0.007184415936785743,0.012709268679221472,0.00807211334004432
step1000,3,3,0.02083807756813864,0.0002075978253116162,0.27959973395782833,0.006288729814408015,0.2969645103713782,0.010545659466872633,13.535549521446228,0.101175605422609,-2.4270984133084617,0.07533823983996392,0.052746216456095375,0.036061449100062516,-0.019431243340174358,0.030222750946244853,0.0027075658241907754,0.00807895779521162,-0.0017714438339074452,0.004219409006938007,0.0500386506319046,0.043472772891036175,0.01765979950626691,0.034141469951994095
step4000,4,3,0.037891604898807905,0.0020096674605075385,0.3674846995513885,0.036377655270224046,0.44683953422424233,0.07739323454796289,3.694570312897364,0.1350302124333451,8.796004891395569,0.2355832357866455,-0.11552387475967407,0.06767007393052699,0.23006769021352133,0.10195243150650367,-0.17109883824984232,0.09582483788455709,0.22263326744238535,0.13096978596958084,0.05557496349016825,0.11160919142568869,-0.007434422771135966,0.15610326708866434
step16000,5,3,0.2720893597385536,0.16264216657674113,0.55656858539797,0.12541354356715795,0.7879260629059699,0.22609452249563292,6.151750942071279,0.5031949964878804,6.226848403612773,0.4336912189312999,-1.3470722635587056,1.6199231929109146,2.082212269306183,1.9937105125827845,-2.6694591206808886,0.7889540512469557,3.5233937427401543,1.103957999887718,1.3223868571221828,1.9568729176544124,1.4411814734339714,2.4903649587067913
step64000,6,3,0.3058531782589853,0.1852470451720707,0.5887720471591742,0.09240106466054823,0.8316489581701613,0.1772723948958553,6.390498091777165,1.3912714342590744,150.51062401135763,152.35131138906593,2.546634982029597,2.417565397053695,-1.9567379554112752,2.0398617815368327,-1.6039928036431472,0.8964426408194653,-0.9052762687206268,1.3065557462373814,4.150627785672744,1.5589281890858302,1.0514616866906483,2.396564053020203
step143000,7,3,0.3102500308305025,0.18179802159987177,0.6205885395049764,0.0847279339385776,0.8606207081726597,0.13648747789220986,13.524066070715586,3.6282388202710125,1456.8235422770183,316.9455939826567,5.083299815654755,3.960838561112128,-3.56195068359375,6.695409695216288,-2.2148691192269325,1.3871760173132335,-5.06922976175944,3.1388135502466716,7.298168934881687,2.6116775634331257,-1.5072790781656902,3.5673314372550458
