config,n_models,eval_loss_mean,role_accuracy_mean,role_accuracy_min,role_specialization_mean,role_effective_heads_mean,role_top_dim_mass_mean,within_family_similarity_mean,between_family_similarity_mean,family_gap_mean,family_cluster_ari_mean,role_top_dim_counts_json
uniform2,5,0.0033723135071340947,0.9993142440915108,0.9933594167232513,0.6361819335042874,2.24989530904115,1.0,0.9232480423836058,0.2707232160110714,0.6525248263725344,1.0,"{""local_a"": {""64"": 5}, ""local_b"": {""64"": 5}, ""kv_a"": {""64"": 5}, ""kv_b"": {""64"": 5}, ""induction_short"": {""64"": 5}, ""induction_long"": {""64"": 5}}"
"32,96",5,0.0031951422279234976,0.9993898898363114,0.9957031905651093,0.6953755231337224,1.8560718988316143,0.8974362880488874,0.9320355683411539,0.4517896964435506,0.4802458718976032,0.888888888888889,"{""local_a"": {""96"": 5}, ""local_b"": {""96"": 5}, ""kv_a"": {""96"": 5}, ""kv_b"": {""96"": 5}, ""induction_short"": {""32"": 2, ""96"": 3}, ""induction_long"": {""32"": 2, ""96"": 3}}"
"48,80",5,0.0034086407627910375,0.9994215091069538,0.994140625,0.756481754363601,1.9083107456434654,0.8832812305774539,0.9391623699860651,0.3381555222224467,0.6010068477636183,1.0,"{""local_a"": {""80"": 5}, ""local_b"": {""80"": 5}, ""kv_a"": {""80"": 5}, ""kv_b"": {""80"": 5}, ""induction_short"": {""48"": 3, ""80"": 2}, ""induction_long"": {""48"": 4, ""80"": 1}}"
"16,112",5,0.004021945688873529,0.9993433862924576,0.9921875,0.7016393104117197,1.762859593898488,0.9716762248719908,0.9338239364963992,0.6073154225997944,0.32650851389660474,0.6666666666666667,"{""local_a"": {""112"": 5}, ""local_b"": {""112"": 5}, ""kv_a"": {""112"": 5}, ""kv_b"": {""112"": 5}, ""induction_short"": {""112"": 5}, ""induction_long"": {""112"": 5}}"
