config,seed,role_a,family_a,role_b,family_b,same_family,tv_distance,similarity
uniform2,4,induction_short,induction,induction_long,induction,True,0.07437721698546337,0.9256227830145366
uniform2,5,local_a,local_copy,local_b,local_copy,True,0.020000388424544296,0.9799996115754557
uniform2,5,local_a,local_copy,kv_a,kv_lookup,False,0.32267979855189055,0.6773202014481094
uniform2,5,local_a,local_copy,kv_b,kv_lookup,False,0.27939216052216626,0.7206078394778337
uniform2,5,local_a,local_copy,induction_short,induction,False,0.8265653357654928,0.17343466423450715
uniform2,5,local_a,local_copy,induction_long,induction,False,0.8037720414753531,0.19622795852464692
uniform2,5,local_b,local_copy,kv_a,kv_lookup,False,0.32267979855189055,0.6773202014481094
uniform2,5,local_b,local_copy,kv_b,kv_lookup,False,0.2793921605221662,0.7206078394778338
uniform2,5,local_b,local_copy,induction_short,induction,False,0.8265653357654927,0.17343466423450726
uniform2,5,local_b,local_copy,induction_long,induction,False,0.8037720414753531,0.19622795852464692
uniform2,5,kv_a,kv_lookup,kv_b,kv_lookup,True,0.07445260693138402,0.925547393068616
uniform2,5,kv_a,kv_lookup,induction_short,induction,False,0.7012770866909963,0.2987229133090037
uniform2,5,kv_a,kv_lookup,induction_long,induction,False,0.48109224292346253,0.5189077570765375
uniform2,5,kv_b,kv_lookup,induction_short,induction,False,0.7757296936223802,0.2242703063776198
uniform2,5,kv_b,kv_lookup,induction_long,induction,False,0.5462260401091721,0.4537739598908279
uniform2,5,induction_short,induction,induction_long,induction,True,0.22950365351320823,0.7704963464867918
"32,96",1,local_a,local_copy,local_b,local_copy,True,0.0031070601861623182,0.9968929398138376
"32,96",1,local_a,local_copy,kv_a,kv_lookup,False,0.5178915497482401,0.48210845025175986
"32,96",1,local_a,local_copy,kv_b,kv_lookup,False,0.5019955076848606,0.49800449231513944
"32,96",1,local_a,local_copy,induction_short,induction,False,0.6617614581532205,0.3382385418467795
"32,96",1,local_a,local_copy,induction_long,induction,False,0.7121621051485807,0.2878378948514193
"32,96",1,local_b,local_copy,kv_a,kv_lookup,False,0.518226425225542,0.48177357477445804
"32,96",1,local_b,local_copy,kv_b,kv_lookup,False,0.5019955076848606,0.49800449231513944
"32,96",1,local_b,local_copy,induction_short,induction,False,0.6620963336305224,0.33790366636947755
"32,96",1,local_b,local_copy,induction_long,induction,False,0.7124969806258827,0.28750301937411726
"32,96",1,kv_a,kv_lookup,kv_b,kv_lookup,True,0.016448201583288642,0.9835517984167114
"32,96",1,kv_a,kv_lookup,induction_short,induction,False,0.15032303356228038,0.8496769664377196
"32,96",1,kv_a,kv_lookup,induction_long,induction,False,0.31091541438837855,0.6890845856116214
"32,96",1,kv_b,kv_lookup,induction_short,induction,False,0.1602829030483548,0.8397170969516452
"32,96",1,kv_b,kv_lookup,induction_long,induction,False,0.31304751967885963,0.6869524803211404
"32,96",1,induction_short,induction,induction_long,induction,True,0.161034951507684,0.838965048492316
"32,96",2,local_a,local_copy,local_b,local_copy,True,0.008132950578490384,0.9918670494215096
"32,96",2,local_a,local_copy,kv_a,kv_lookup,False,0.5385621713791772,0.46143782862082283
"32,96",2,local_a,local_copy,kv_b,kv_lookup,False,0.4967891282874288,0.5032108717125712
"32,96",2,local_a,local_copy,induction_short,induction,False,0.6684360031952632,0.3315639968047368
"32,96",2,local_a,local_copy,induction_long,induction,False,0.7087736818470698,0.2912263181529302
"32,96",2,local_b,local_copy,kv_a,kv_lookup,False,0.5385621713791772,0.46143782862082283
"32,96",2,local_b,local_copy,kv_b,kv_lookup,False,0.4967891282874288,0.5032108717125712
"32,96",2,local_b,local_copy,induction_short,induction,False,0.6684360031952632,0.3315639968047368
