config,seed_a,seed_b,layer,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random,raw_role_similarity,aligned_role_similarity,random_role_similarity,raw_top_head_match,aligned_top_head_match,best_assignment_json
uniform4,1,2,0,0.9038092494010925,0.9051530361175537,0.9039166581630707,0.0012363779544830589,0.5760193651527549,0.9284167059263794,0.6522924369084258,False,True,"[[0, 0], [1, 1], [2, 3], [3, 2]]"
uniform4,1,2,1,0.5900368690490723,0.5912648439407349,0.5900996398925781,0.0011652040481567871,0.6689000298633747,0.8096597523061797,0.7285883727274985,False,True,"[[0, 0], [1, 3], [2, 1], [3, 2]]"
uniform4,1,3,0,0.8891588449478149,0.89451664686203,0.8915086191892624,0.0030080276727676436,0.6980095094143712,0.6504975927393515,0.6681617857012441,True,False,"[[0, 3], [1, 0], [2, 1], [3, 2]]"
uniform4,1,3,1,0.5565553307533264,0.5598771572113037,0.557578404545784,0.00229875266551971,0.5081803485155045,0.85993173614546,0.5629299889959811,False,True,"[[0, 0], [1, 3], [2, 1], [3, 2]]"
uniform4,1,4,0,0.8901536464691162,0.8938860297203064,0.890572891831398,0.003313137888908413,0.9107625711856039,0.8960259442523745,0.6680671609948515,True,True,"[[0, 1], [1, 3], [2, 2], [3, 0]]"
uniform4,1,4,1,0.5379488468170166,0.539030134677887,0.5372243767976761,0.0018057578802108676,0.873606550970514,0.7209157628722831,0.6770759426288528,True,False,"[[0, 1], [1, 2], [2, 0], [3, 3]]"
uniform4,1,5,0,0.9116986393928528,0.9130771160125732,0.9120136153697967,0.0010635006427764937,0.38462542315631976,0.47749622706417505,0.5238000448915942,False,False,"[[0, 1], [1, 0], [2, 3], [3, 2]]"
uniform4,1,5,1,0.5463274121284485,0.5470607876777649,0.5461444109678268,0.0009163767099380493,0.8641182288118807,0.6120157326462217,0.660083746137177,True,False,"[[0, 2], [1, 1], [2, 3], [3, 0]]"
uniform4,2,3,0,0.9047112464904785,0.9076021313667297,0.9051427400112152,0.0024593913555145397,0.7292275057139523,0.7131381907394244,0.7312868127909574,False,False,"[[0, 3], [1, 0], [2, 2], [3, 1]]"
uniform4,2,3,1,0.5089644193649292,0.5104235410690308,0.5091029500961304,0.0013205909729003817,0.7040469790871513,0.6043798832756921,0.6150985168100987,True,False,"[[0, 2], [1, 0], [2, 3], [3, 1]]"
