config,n_models,eval_loss_mean,eval_accuracy_mean,top_specialization_mean,own_top_loss_delta_mean,random_same_layer_loss_delta_mean,raw_diag_mean,matched_mean,random_perm_mean,matched_minus_random_mean,raw_role_similarity_mean,aligned_role_similarity_mean,random_role_similarity_mean,raw_top_head_match_rate,aligned_top_head_match_rate,top_head_dim_counts_json
uniform4,5,0.00437358288327232,0.9992708772420883,0.5795883681861765,0.05869240494212136,0.014123666204977781,0.7144523680210113,0.7163758337497711,0.714584275752306,0.0017915579974651318,0.6591355205397863,0.7177173126227284,0.6461563452472245,0.35,0.4,"{""32"": 5}"
hetero4,5,0.0056109048833604905,0.9990625500679016,0.9829709615932923,1.0195339165220503,0.006597616687940899,0.673334439098835,0.6749805018305779,0.6678994429558516,0.00708105887472629,0.9684993909071391,0.6979232017539271,0.26819288247397327,1.0,0.7,"{""64"": 5}"
uniform2,5,0.004440366686321795,0.9992969155311584,0.657821877143004,0.29889503547456114,0.18319128116127104,0.7551404029130936,0.7557149916887284,0.7550163684785366,0.0006986232101917345,0.8747305306488938,0.8263794826441666,0.8063618712315371,0.5,0.7,"{""64"": 5}"
hetero4_64first,5,0.005280153127387166,0.9992188006639481,0.9881828963214783,1.563662092713639,0.004032191172882449,0.6701160058379173,0.6718459278345108,0.661931954100728,0.009913973733782768,0.9881525767130596,0.7973398923849402,0.2597619848951617,1.0,0.8,"{""64"": 5}"
