config,seed,branch,branch_head_dims_json,local_loss_delta,induction_loss_delta,local_specialization,induction_specialization
branch_sum,1,0,[64],0.1461030533137091,0.7162176673882641,0.3689757930223662,0.3884733846654915
branch_sum,1,1,[64],0.24986615679881652,1.1274547582142986,0.6310242069776337,0.6115266153345085
branch_sum,2,0,[64],0.24771087879344122,1.2159868691232987,0.8047512774592644,0.7133014706510632
branch_sum,2,1,[64],0.06009960344090359,0.4887437660363503,0.19524872254073553,0.2866985293489368
branch_sum,3,0,[64],0.1937702894283575,0.8682141850586049,0.68084611321778,0.5108145287920279
branch_sum,3,1,[64],0.09083189257216873,0.8314520071144216,0.31915388678222,0.48918547120797207
branch_sum,4,0,[64],0.20134203496127157,0.6812899017822929,0.6394316055862704,0.48482200673047426
branch_sum,4,1,[64],0.11353454167692689,0.723947262216825,0.36056839441372956,0.5151779932695257
branch_sum,5,0,[64],0.2197740928204439,1.0156005561657366,0.6050283337725532,0.5649898158515032
branch_sum,5,1,[64],0.14347185873702983,0.7819549531050143,0.39497166622744684,0.4350101841484968
learned_position_router,1,0,[64],0.2615295922259975,0.8164876652881503,0.43268648870798293,0.4261985080324687
learned_position_router,1,1,[64],0.3429024828474212,1.0992573453113437,0.567313511292017,0.5738014919675313
learned_position_router,2,0,[64],0.39050974178826436,1.1157598612480797,0.7277967294313354,0.6148077667731372
learned_position_router,2,1,[64],0.14605455700075254,0.6990510789328255,0.27220327056866456,0.38519223322686286
learned_position_router,3,0,[64],0.18459906192219933,0.6889763344079256,0.2798022611349499,0.29618021468089
learned_position_router,3,1,[64],0.4751492230752774,1.6372301448136568,0.7201977388650501,0.7038197853191099
learned_position_router,4,0,[64],0.15437043931524386,0.6846893081092276,0.35009999992986124,0.4199888398285591
learned_position_router,4,1,[64],0.28656197812597384,0.9455666491412558,0.6499000000701388,0.5800111601714408
learned_position_router,5,0,[64],0.22724858011861215,0.6103195655741729,0.495668022177957,0.3687508948232724
learned_position_router,5,1,[64],0.23122073795457254,1.0447803247370757,0.504331977822043,0.6312491051767276
learned_token_router,1,0,[64],6.565387593582273e-07,0.0004153579648118466,1.2068035362022225e-07,7.33979258046724e-05
learned_token_router,1,1,[64],5.440311205857142,5.658572416665265,0.9999998793196464,0.9999266020741954
learned_token_router,2,0,[64],5.4386486891817185,5.782364399667131,1.0,0.9999748395312082
learned_token_router,2,1,[64],0.0,0.00014549065963365138,0.0,2.5160468791767137e-05
learned_token_router,3,0,[64],5.663647191366181,5.866115034092218,0.9999999159082585,0.9990300756559402
learned_token_router,3,1,[64],4.762659955304116e-07,0.005695211701095104,8.409174148531136e-08,0.0009699243440598703
learned_token_router,4,0,[64],0.0,0.0002785883261822164,0.0,4.7771117944442184e-05
learned_token_router,4,1,[64],5.57737292956881,5.831452762533445,1.0,0.9999522288820556
learned_token_router,5,0,[64],0.008174712369509507,0.004090879985596985,0.0028445145718847616,0.0008591671378223759
learned_token_router,5,1,[64],2.865676752589934,4.757357510563452,0.9971554854281153,0.9991408328621776
oracle_route,1,0,[64],5.855933089742393,0.0,1.0,0.0
oracle_route,1,1,[64],0.0,6.133879787172191,0.0,1.0
oracle_route,2,0,[64],5.760904653443504,0.0,1.0,0.0
oracle_route,2,1,[64],0.0,6.1476320929359645,0.0,1.0
oracle_route,3,0,[64],5.839953657696242,0.0,1.0,0.0
oracle_route,3,1,[64],0.0,6.185105613665655,0.0,1.0
oracle_route,4,0,[64],5.687596701034636,0.0,1.0,0.0
oracle_route,4,1,[64],0.0,6.177255637099734,0.0,1.0
oracle_route,5,0,[64],5.95472000232985,0.0,1.0,0.0
oracle_route,5,1,[64],0.0,6.175840574054746,0.0,1.0
