config,seed,branch_head_dims_json,eval_loss,local_loss,induction_loss,local_accuracy,induction_accuracy,local_branch0_loss_delta,local_branch1_loss_delta,induction_branch0_loss_delta,induction_branch1_loss_delta,local_branch0_specialization,local_branch1_specialization,induction_branch0_specialization,induction_branch1_specialization,local_top_branch,induction_top_branch,same_top_branch,routed_role_match,branch_distribution_distance,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_gate_entropy_mean,induction_gate_entropy_mean,gate_distribution_distance,gate_routed_role_match
branch_sum,1,[64],0.003201002546120435,0.00014707915761391632,0.003964483214076608,1.0,0.9990886002779007,0.1461030533137091,0.24986615679881652,0.7162176673882641,1.1274547582142986,0.3689757930223662,0.6310242069776337,0.3884733846654915,0.6115266153345085,1,1,True,False,0.019497591643125256,0.5,0.5,0.5,0.5,0.6931471824645996,0.6931471824645996,0.0,False
branch_sum,2,[64],0.0006223317177500576,0.00014033278421266004,0.0007428314420394599,1.0,0.9998698085546494,0.24771087879344122,0.06009960344090359,1.2159868691232987,0.4887437660363503,0.8047512774592644,0.19524872254073553,0.7133014706510632,0.2866985293489368,0,0,True,False,0.09144980680820126,0.5,0.5,0.5,0.5,0.6931471824645996,0.6931471824645996,0.0,False
branch_sum,3,[64],0.001144200810813345,0.0001779310332494788,0.0013857682351954281,1.0,0.9997396171092987,0.1937702894283575,0.09083189257216873,0.8682141850586049,0.8314520071144216,0.68084611321778,0.31915388678222,0.5108145287920279,0.48918547120797207,0,0,True,False,0.17003158442575206,0.5,0.5,0.5,0.5,0.6931471824645996,0.6931471824645996,0.0,False
branch_sum,4,[64],0.0007312903180718422,0.0002708101019379683,0.0008464103448204696,1.0,0.9998698085546494,0.20134203496127157,0.11353454167692689,0.6812899017822929,0.723947262216825,0.6394316055862704,0.36056839441372956,0.48482200673047426,0.5151779932695257,0,1,False,True,0.15460959885579617,0.5,0.5,0.5,0.5,0.6931471824645996,0.6931471824645996,0.0,False
branch_sum,5,[64],0.000431783904787153,0.00014616614862461574,0.0005031883410993032,1.0,1.0,0.2197740928204439,0.14347185873702983,1.0156005561657366,0.7819549531050143,0.6050283337725532,0.39497166622744684,0.5649898158515032,0.4350101841484968,0,0,True,False,0.040038517921049954,0.5,0.5,0.5,0.5,0.6931471824645996,0.6931471824645996,0.0,False
learned_position_router,1,[64],0.0061910932417958975,0.00016595294073340483,0.007697378285229206,1.0,0.9975260943174362,0.2615295922259975,0.3429024828474212,0.8164876652881503,1.0992573453113437,0.43268648870798293,0.567313511292017,0.4261985080324687,0.5738014919675313,1,1,True,False,0.006487980675514232,0.48388081789016724,0.5161192417144775,0.4604172706604004,0.5395828485488892,0.6926017999649048,0.6890020370483398,0.023463577032089233,False
learned_position_router,2,[64],0.0004045656605740078,0.00016368698561564088,0.0004647853202186525,1.0,1.0,0.39050974178826436,0.14605455700075254,1.1157598612480797,0.6990510789328255,0.7277967294313354,0.27220327056866456,0.6148077667731372,0.38519223322686286,0,0,True,False,0.11298896265819827,0.5221611857414246,0.4778388738632202,0.509821355342865,0.49017876386642456,0.6913114786148071,0.6925636529922485,0.012339860200881958,False
learned_position_router,3,[64],0.0075557781383395195,0.0024832324525050353,0.00882391445338726,0.99951171875,0.9980469197034836,0.18459906192219933,0.4751492230752774,0.6889763344079256,1.6372301448136568,0.2798022611349499,0.7201977388650501,0.29618021468089,0.7038197853191099,1,1,True,False,0.016377953545940155,0.5097554922103882,0.4902445375919342,0.4857132136821747,0.5142868161201477,0.6926721334457397,0.6923584342002869,0.0240422785282135,True
learned_position_router,4,[64],0.0058692265884019434,0.00016951832731137984,0.007294153270777315,1.0,0.9981771260499954,0.15437043931524386,0.28656197812597384,0.6846893081092276,0.9455666491412558,0.35009999992986124,0.6499000000701388,0.4199888398285591,0.5800111601714408,1,1,True,False,0.06988883989869793,0.4941380023956299,0.5058619976043701,0.4935576319694519,0.5064424276351929,0.6930369138717651,0.6927075982093811,0.0005804002285003662,False
learned_position_router,5,[64],0.0009402977302670479,0.00022140804867376573,0.0011200201115570962,1.0,0.9997396171092987,0.22724858011861215,0.23122073795457254,0.6103195655741729,1.0447803247370757,0.495668022177957,0.504331977822043,0.3687508948232724,0.6312491051767276,1,1,True,False,0.12691712735468463,0.5051175355911255,0.4948824942111969,0.465337336063385,0.5346627235412598,0.6925256848335266,0.6905065178871155,0.03978021442890167,True
