config,n_models,eval_loss_mean,local_loss_mean,induction_loss_mean,local_accuracy_mean,induction_accuracy_mean,same_top_branch_rate,routed_role_match_rate,branch_distribution_distance_mean,gate_routed_role_match_rate,gate_distribution_distance_mean,local_gate_entropy_mean,induction_gate_entropy_mean,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_branch0_loss_delta_mean,local_branch1_loss_delta_mean,induction_branch0_loss_delta_mean,induction_branch1_loss_delta_mean,local_top_branch_counts_json,induction_top_branch_counts_json
branch_sum,5,0.0012261218595085665,0.00017646384512772783,0.001488536315446254,1.0,0.9997135668992996,0.8,0.2,0.09512541993078494,0.0,0.0,0.6931471824645996,0.6931471824645996,0.5,0.5,0.5,0.5,0.20174006986344467,0.1315608106451691,0.8994618359036395,0.7907105493373819,"{""0"": 4, ""1"": 1}","{""0"": 3, ""1"": 2}"
learned_position_router,5,0.004192192271875683,0.0006407597509678453,0.005080050288233906,0.99990234375,0.9986979514360428,1.0,0.0,0.06653217282660703,0.4,0.020041266083717348,0.6924296021461487,0.6914276480674744,0.503010606765747,0.4969894289970398,0.4829693615436554,0.5170307159423828,0.24365148307406342,0.2963777958007995,0.7832465469255112,1.0851771085872315,"{""0"": 1, ""1"": 4}","{""0"": 1, ""1"": 4}"
learned_token_router,5,0.004050081048626452,0.00027351965836714954,0.004994221299421042,1.0,0.9988802343606948,1.0,0.0,0.0006202793037135921,0.0,0.1044574874220416,0.1592981182038784,0.3340255208313465,0.4862009490840137,0.513799064932391,0.4482527498155832,0.5517473094165325,2.2220942498912337,2.776672272856376,2.330652852007188,3.250644678424578,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}"
oracle_route,5,0.005086628062417731,0.0003246060336095979,0.006277133396361023,0.999951171875,0.9987500339746476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,5.819821620849325,0.0,0.0,6.163942740985658,"{""0"": 5}","{""1"": 5}"
