config,local_weight,induction_weight,seed,local_accuracy,induction_accuracy,local_top_slot,local_top_dim,local_top_score,local_top_specialization,induction_top_slot,induction_top_dim,induction_top_score,induction_top_specialization,local_top_is_64,induction_top_is_64,same_top_slot,same_top_dim
hetero4_64second,0.0,1.0,1,0.2861328125,0.9970052540302277,L0H3:d32,32,0.5324525833129883,0.5206232882308847,L0H1:d64,64,3.018014244036749,0.9760341504348169,False,True,False,False
hetero4_64second,0.0,1.0,2,0.237060546875,0.9979166984558105,L0H2:d16,16,0.968982458114624,0.4377707787808317,L1H1:d64,64,3.1802524940576404,0.9961493835186764,False,True,False,False
hetero4_64second,0.0,1.0,3,0.223876953125,0.9990885853767395,L0H1:d64,64,0.5759856700897217,0.5074249892407442,L0H1:d64,64,0.8908872434985824,0.8725167056160196,True,True,True,True
hetero4_64second,0.0,1.0,4,0.242431640625,0.9981771409511566,L0H0:d16,16,0.6617742776870728,0.5413757040785896,L1H1:d64,64,1.0540014880243689,0.9757519454833167,False,True,False,False
hetero4_64second,0.0,1.0,5,0.142578125,0.9981771111488342,L0H0:d16,16,0.29183757305145264,1.0,L1H1:d64,64,1.2764182626851834,0.9873630661788538,False,True,False,False
hetero4_64second,0.01,1.0,1,0.9970703125,0.996744841337204,L1H1:d64,64,0.7748555049765855,0.9467587931167528,L0H1:d64,64,1.6311531390529126,0.9754074808878246,True,True,False,True
hetero4_64second,0.01,1.0,2,0.9951171875,0.9971354603767395,L1H1:d64,64,0.7926542926579714,0.9465636708338341,L1H1:d64,64,1.9920264538377523,0.9879142453017872,True,True,True,True
hetero4_64second,0.01,1.0,3,0.996826171875,0.9975260943174362,L1H1:d64,64,0.37736169900745153,0.8326093709974411,L0H1:d64,64,1.3680787327466533,0.9340276173073213,True,True,False,True
hetero4_64second,0.01,1.0,4,0.995849609375,0.9984375238418579,L1H1:d64,64,0.37521584890782833,0.7787236915906385,L1H1:d64,64,1.059384890482761,0.9586199248671265,True,True,True,True
hetero4_64second,0.01,1.0,5,0.99658203125,0.9981771409511566,L1H1:d64,64,0.33027351554483175,0.8768037107466488,L1H1:d64,64,1.348878714197781,0.9887675157683604,True,True,True,True
hetero4_64second,0.1,1.0,1,0.999755859375,0.9993490129709244,L0H2:d16,16,1.451299113839923,0.7681362513987922,L0H2:d16,16,10.124151097086724,0.6267903039012923,False,False,True,True
hetero4_64second,0.1,1.0,2,0.999755859375,0.9944010972976685,L1H1:d64,64,0.18097427541215438,0.9543354832094479,L0H0:d16,16,5.293854222167283,0.7849445888275688,True,False,False,False
hetero4_64second,0.1,1.0,3,1.0,0.9988281726837158,L0H1:d64,64,0.19653732054575812,0.8551696394061654,L0H1:d64,64,1.43035233306,0.9025809025122931,True,True,True,True
hetero4_64second,0.1,1.0,4,0.999755859375,0.9984375536441803,L0H1:d64,64,0.06414859159849584,0.6915783070343274,L0H1:d64,64,1.1953668954083696,0.6697507118388691,True,True,True,True
hetero4_64second,0.1,1.0,5,0.99951171875,0.9971354603767395,L0H1:d64,64,0.7922235988880857,0.6981140862415347,L0H0:d16,16,6.981753129628487,0.5781353843251503,True,False,False,False
hetero4_64second,0.25,1.0,1,1.0,0.997526079416275,L0H2:d16,16,0.21207206832696102,0.7371588521236517,L0H2:d16,16,8.453015139559284,0.4617429770472626,False,False,True,True
hetero4_64second,0.25,1.0,2,0.999755859375,0.9973958730697632,L1H1:d64,64,0.231580824663979,0.9451354466011173,L0H1:d64,64,6.341609106166288,0.6072428533274173,True,True,False,True
hetero4_64second,0.25,1.0,3,1.0,0.9958333969116211,L1H1:d64,64,0.12106894495809684,0.9584627371559276,L0H1:d64,64,2.926660645985976,0.7755055895196498,True,True,False,True
hetero4_64second,0.25,1.0,4,1.0,1.0,L1H1:d64,64,0.1668670032049704,0.950402681207196,L0H3:d32,32,2.8088608606994967,0.692227268479307,True,False,False,False
hetero4_64second,0.25,1.0,5,0.999755859375,0.9994792193174362,L1H1:d64,64,0.33264677321494673,0.9746870490581655,L0H3:d32,32,5.539981013338547,0.5308128999067508,True,False,False,False
hetero4_64second,1.0,1.0,1,1.0,1.0,L1H1:d64,64,0.09532399872477981,0.8985714599371512,L0H2:d16,16,4.450135796840186,0.8029774353543498,True,False,False,False
hetero4_64second,1.0,1.0,2,1.0,1.0,L1H1:d64,64,0.12341281962653738,0.936010774126448,L0H2:d16,16,2.2585802896646783,0.8119936814787315,True,False,False,False
hetero4_64second,1.0,1.0,3,1.0,1.0,L1H1:d64,64,0.10369300069942256,0.8713780172925573,L1H1:d64,64,0.9731736412650207,0.7827221508237574,True,True,True,True
hetero4_64second,1.0,1.0,4,1.0,1.0,L1H1:d64,64,0.1666872658788634,0.9508917724922983,L0H0:d16,16,3.2303306261164835,0.5715587677401928,True,False,False,False
hetero4_64second,1.0,1.0,5,1.0,1.0,L1H1:d64,64,0.2201156821065524,0.9639048542462687,L0H2:d16,16,5.311349386873189,0.6534131672085046,True,False,False,False
