condition,source,config,branch_head_dim,supervision_weight,entropy_weight,balance_weight,n_models,local_top_branch_counts_json,induction_top_branch_counts_json,local_accuracy_mean,induction_accuracy_mean,same_top_branch_mean,routed_role_match_mean,branch_distribution_distance_mean,gate_routed_role_match_mean,gate_distribution_distance_mean,local_gate_entropy_mean,induction_gate_entropy_mean,global_gate_entropy_mean,global_gate_branch0_mean,global_gate_branch1_mean,global_gate_balance_error_mean,local_gate_branch0_mean,local_gate_branch1_mean,induction_gate_branch0_mean,induction_gate_branch1_mean,local_branch0_loss_delta_mean,local_branch1_loss_delta_mean,induction_branch0_loss_delta_mean,induction_branch1_loss_delta_mean,eval_loss_mean,local_loss_mean,induction_loss_mean
wide64_unconstrained,wide64_reference,unconstrained_learned_token,64,nan,0.0,0.0,5,"{""0"": 2, ""1"": 3}","{""0"": 2, ""1"": 3}",1.0,0.9988802343606948,1.0,0.0,0.0006202793037135921,0.0,0.1044574874220416,0.1592981182038784,0.3340255208313465,nan,nan,nan,nan,0.4862009490840137,0.513799064932391,0.4482527498155832,0.5517473094165325,2.2220942498912337,2.776672272856376,2.330652852007188,3.250644678424578,,,
wide64_entropy_0.05_balance_1.0,wide64_reference,entropy_0.05_balance_1.0,64,nan,0.05,1.0,5,"{""0"": 4, ""1"": 1}","{""0"": 2, ""1"": 3}",0.999951171875,0.9993229538202286,0.6,0.4,0.3081871595066121,0.4,0.26666816021283535,0.05753321523346635,0.3346364051103592,0.28299076594412326,0.500115217268467,0.49988479614257814,0.003775136172771454,0.7850013734846695,0.2149986387163006,0.5453446201980114,0.45465543661266566,3.9308504195403655,1.0936841841670684,2.4923710622504585,1.8385255746688927,,,
wide64_weak_label_0.05,wide64_reference,weak_label_0.05,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.999755859375,0.9983333796262741,0.0,1.0,0.8956862470461969,1.0,0.9049281624989817,0.012473694141954183,0.19442371055483817,nan,nan,nan,nan,0.9981220364570618,0.00187799294362776,0.09319388945586979,0.9068061709403992,5.679273508140613,2.7611975383479146e-06,0.5183824822946917,4.844406568392879,,,
wide64_oracle_route,wide64_reference,oracle_route,64,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.999951171875,0.9987500339746476,0.0,1.0,1.0,1.0,1.0,0.0,0.0,nan,nan,nan,nan,1.0,0.0,0.0,1.0,5.819821620849325,0.0,0.0,6.163942740985658,,,
bottleneck16_unconstrained,bottleneck16,learned_token_router,16,0.0,0.0,0.0,5,"{""0"": 1, ""1"": 4}","{""0"": 1, ""1"": 4}",1.0,0.9986719071865082,1.0,0.0,0.022040878693170705,0.0,0.05935231710318476,0.3487959511578083,0.4701590731739998,0.47587381601333617,0.37431509494781495,0.625684929639101,0.5491496503353119,0.3406267016660422,0.6593733109533787,0.3765329152345657,0.6234671384096145,1.2985660079189985,3.4569690905824246,1.3686761499091518,3.802867136563873,0.006069685892725829,0.0003246825268433895,0.007505936600500718
bottleneck16_balance_only_1.0,bottleneck16,learned_token_router,16,0.0,0.0,1.0,5,"{""0"": 1, ""1"": 4}","{""0"": 1, ""1"": 4}",0.999951171875,0.9997135698795319,1.0,0.0,0.055097425111214196,0.6,0.08006016463041306,0.6883662343025208,0.6699474841356278,0.6752902716398239,0.49939373731613157,0.500606270134449,0.0016613408923149108,0.49817625284194944,0.5018237650394439,0.46039386093616486,0.5396061897277832,0.45790300170483533,1.4524472424614943,0.8076564648537896,2.1660897714202294,0.0018112462697899901,0.0003248827677452937,0.0021828370983712373
bottleneck16_entropy_0.05_balance_1.0,bottleneck16,learned_token_router,16,0.0,0.05,1.0,5,"{""0"": 1, ""1"": 4}","{""0"": 1, ""1"": 4}",1.0,0.9982292175292968,1.0,0.0,0.0003923379540279631,0.0,0.10407987967494695,0.0004608840271629333,0.21824663504958153,0.15885087698698044,0.49964482337236404,0.5003551810979843,0.003975905478000641,0.200039835167752,0.7999601792791509,0.28199042454361917,0.7180096343159675,1.2160481569211696,4.5493044931907205,1.2382314102025702,4.865567710320465,0.007601099094608798,0.00039133156678872183,0.009403540845960378
bottleneck16_weak_label_0.05,bottleneck16,weak_token_router,16,0.05,0.0,0.0,5,"{""0"": 5}","{""0"": 1, ""1"": 4}",0.999853515625,0.9990625470876694,0.2,0.8,0.6767783229950147,1.0,0.8313563236268238,0.024536418542265893,0.290812623500824,0.3668228015303612,0.34717321395874023,0.6528267875313759,0.3095533654093742,0.9961759805679321,0.00382401323877275,0.16481969505548477,0.8351803749799729,5.995466900937027,3.185664536431432e-06,1.9396547561511397,3.865269225090742,0.005124322866322473,0.0010750521498266608,0.006136640347540379
bottleneck16_oracle_route,bottleneck16,oracle_route,16,nan,nan,nan,5,"{""0"": 5}","{""1"": 5}",0.99990234375,0.9999739617109299,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4134562313556671,0.4385964870452881,0.5614035129547119,0.12280702590942383,1.0,0.0,0.0,1.0,5.957360763833276,0.0,0.0,6.230959353345679,0.0012894659594167024,0.0004932925250614062,0.001488509279442951
